alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,alim_code,alim_nom_eng,alim_nom_sci,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
13,1300,000000,fruits and fruit products,fruits,,E042,"Mango, ripe, totapari",Mangifera indica,248,59.27,-,-,84.14,0.41,0.41,12.75,0.49,9.24,7.33,-,1.05,-,-,0.86,-,1.73,-,0.47,-,0.521,0.175,0.168,0.08871,-,-,-,-,0.00243,0.02179,0.136,0.00756,0.09756,0.01864,0.07006,-,-,-,-,0.003353,13.34,-,0.08,0.28,-,12.55,0.32,9.87,160,1.85,1.32,0.08,-,602,3.77,0.3,4.6,-,25.26,0.02,0.05,0.27,0.13,0.12,77.69,-
13,1300,000000,fruits and fruit products,fruits,,E043,Mangosteen,Garcinia mangostana,219,52.34,-,-,85.52,0.63,0.63,11.41,0.24,8.91,5.12,-,1.67,-,-,2.12,0.5,1.87,-,0.33,-,0.1501,0.176,0.165,0.0886,-,-,-,-,0.00254,0.02248,0.135,0.00785,0.09547,0.02048,0.06812,-,-,-,-,0.009627,4.69,-,0.11,0.28,-,12,0.04,7.18,46.93,-,3.79,0.21,-,1.8,-,0.05,5.5,-,26.33,0.01,0.01,0.58,0.15,0.18,13.52,-
13,1300,000000,fruits and fruit products,fruits,,E044,Manila tamarind,Pithecellobium dulce,342,81.74,-,-,74.54,3.56,3.56,13.54,1.14,12.13,3.45,-,4.12,-,-,4.56,0.5,4.4,-,2.82,-,0.2314,0.02781,0.03345,0.01949,-,-,-,-,-,-,-,-,-,0.00601,0.01348,-,-,-,-,0.003429,8.51,-,0.22,0.71,-,32.98,0.27,73.53,376,-,1.35,0.56,-,2.2,-,0.38,33.18,-,55.78,0.18,0.14,0.4,0.18,0.04,4.24,-
13,1300,000000,fruits and fruit products,fruits,,E045,"Musk melon, orange flesh",Cucumis melon,97,23.18,-,-,92.97,0.42,0.42,4.24,0.35,2.98,0.62,-,0.71,-,-,1.65,-,1.51,-,0.52,-,0.09205,0.09294,0.02518,0.159,-,-,-,-,-,-,-,-,-,0.09734,0.06133,-,-,-,-,0.03795,9.8,-,0.03,0.18,-,11.62,0.04,17.28,206,0.88,14.94,0.09,-,771,4.41,0.01,5.7,-,-,-,-,-,-,-,-,-
13,1300,000000,fruits and fruit products,fruits,,E046,"Musk melon, yellow flesh",Cucumis melo,-,-,-,-,-,-,-,-,-,2.36,0.51,-,0.84,-,-,1.01,-,-,-,-,-,0.08616,0.079,0.02112,0.114,-,-,-,-,-,-,0.06261,0.01639,0.01537,0.07256,0.04154,-,-,-,-,0.04008,9.02,-,0.05,0.21,-,9.81,0.04,13.09,196,1.35,15.78,0.09,-,6.87,2.33,0.02,1.74,-,21.32,0.01,0.02,0.43,0.11,0.06,20.23,-
13,1300,000000,fruits and fruit products,fruits,,E047,"Orange, pulp",Citrus aurantium,156,37.28,-,-,89.61,0.7,0.7,7.92,0.13,6.86,2.86,-,1.21,-,-,2.79,-,1.29,-,0.36,-,1.448,0.03711,0.01926,0.04763,-,-,-,-,-,-,0.02946,0.00766,0.01499,0.03652,0.01111,-,-,-,-,0.003734,19.52,-,0.03,0.81,-,11.05,0.02,12.9,164,0.19,1.47,0.04,-,31.94,0.34,0.04,2.5,-,42.72,0.07,0.02,0.28,0.2,0.04,19.46,-
13,1300,000000,fruits and fruit products,fruits,,E048,"Palm fruit, tender",Borassus flabellifer,101,24.14,-,-,91.93,0.5,0.5,4.92,0.12,0.19,0.17,-,0.02,-,-,-,0.84,2.4,-,0.13,-,0.00877,0.03336,0.03832,0.07642,-,-,-,-,-,0.00245,0.02245,0.00846,0.03285,0.05064,0.02578,-,-,-,-,0.003175,-,-,-,-,-,-,-,-,158,-,1.25,0.05,-,-,-,0.02,3.6,-,0.25,0.01,-,0.46,0.13,0.07,24.4,-
13,1300,000000,fruits and fruit products,fruits,,E049,"Papaya, ripe",Carica papaya,100,23.9,-,-,91.47,0.42,0.42,4.61,0.16,4.09,2.44,-,1.15,-,-,0.5,-,2.83,-,0.51,-,0.2293,0.05608,0.02635,0.04824,-,-,-,-,-,0.00552,0.04526,0.0053,0.01683,0.01033,0.03791,-,-,-,-,0.01697,15.02,-,0.04,0.23,-,10.97,0.03,17.73,173,12.78,6.68,0.08,-,694,11.47,0.04,2.59,-,43.09,0.03,0.11,0.33,0.44,0.04,60.9,-
13,1300,000000,fruits and fruit products,fruits,,E050,Peach A. Ahom bogori,Prunus communis,168,40.15,-,-,88.31,0.86,0.86,7.82,0.37,6.95,1.15,-,0.89,-,0.3,4.61,-,2.13,-,0.51,-,0.3957,0.0239,0.209,0.06261,-,-,-,-,-,0.00032,0.01724,0.00598,0.207,0.06216,0.00044,-,-,-,-,0.002921,6.98,-,0.08,0.35,-,8.06,0.05,19.08,281,0.67,1.15,0.1,-,-,2.41,0.02,4.4,-,5.49,0.02,0.02,0.29,0.15,0.1,6.34,-
13,1300,000000,fruits and fruit products,fruits,,E051,Pear,-,157,37.52,-,-,86.49,0.36,0.36,8.09,0.27,7.37,3.51,-,2.74,-,-,1.12,-,4.48,-,0.32,-,0.1498,0.07594,0.02426,0.101,-,-,-,-,-,-,0.04791,0.0158,0.02426,0.08454,0.01658,-,-,-,-,0.004166,6.55,-,0.08,0.28,-,7.61,0.08,6.74,106,-,1.64,0.07,-,13.16,1.48,0.3,12.57,-,3.31,0.02,0.02,0.13,0.05,0.09,5.28,-
