Pays,"Score
Politique environnementale",Score Transport - France,"Score
Transport - Belgique","Score
Transport - Allemagne","Score
Transport - Irlande",Score Transport - Italie,"Score
Transport - Luxembourg","Score
Transport - Pays-Bas","Score
Transport - Espagne","Score
Transport - Suisse"
Trinité-et-Tobago,2,54,42,41,31,28,33,41,44,21
Tunisie,0,65,64,64,53,78,55,64,88,71
Turkménistan,0,0,0,0,0,0,0,0,0,0
Turquie,0,6,11,11,0,28,2,10,34,21
Tuvalu,50,0,0,0,0,0,0,0,4,0
Ukraine,8,15,25,25,14,42,17,25,49,35
Uruguay,7,10,1,1,0,0,0,0,9,0
Vanuatu,0,0,0,0,0,0,0,0,7,0
Venezuela,10,25,7,7,0,0,0,7,10,0
Vietnam,50,0,0,0,0,0,0,0,0,0
Wallis et Futuna,50,0,6,6,0,0,0,5,7,0
Yémen,50,21,31,31,18,35,22,30,43,28
Zambie,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,2,0,0,10,0
