alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_eng	alim_ssgrp_nom_eng	alim_ssssgrp_nom_eng	alim_code	alim_nom_eng	alim_nom_sci	Energy, Regulation EU No 1169/2011 (kJ/100g)	Energy, Regulation EU No 1169/2011 (kcal/100g)	Energy, N x Jones' factor, with fibres (kJ/100g)	Energy, N x Jones' factor, with fibres (kcal/100g)	Water (g/100g)	Protein (g/100g)	Protein, crude, N x 6.25 (g/100g)	Carbohydrate (g/100g)	Fat (g/100g)	Sugars (g/100g)	fructose (g/100g)	galactose (g/100g)	glucose (g/100g)	lactose (g/100g)	maltose (g/100g)	sucrose (g/100g)	Starch (g/100g)	Fibres (g/100g)	Polyols (g/100g)	Ash (g/100g)	Alcohol (g/100g)	Organic acids (g/100g)	FA saturated (g/100g)	FA mono (g/100g)	FA poly (g/100g)	FA 4:0 (g/100g)	FA 6:0 (g/100g)	FA 8:0 (g/100g)	FA 10:0 (g/100g)	FA 12:0 (g/100g)	FA 14:0 (g/100g)	FA 16:0 (g/100g)	FA 18:0 (g/100g)	FA 18:1 n-9 cis (g/100g)	FA 18:2 9c,12c (n-6) (g/100g)	FA 18:3 c9,c12,c15 (n-3) (g/100g)	FA 20:4 5c,8c,11c,14c (n-6) (g/100g)	FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)	FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)	Cholesterol (mg/100g)	Salt (g/100g)	Calcium (mg/100g)	Chloride (mg/100g)	Copper (mg/100g)	Iron (mg/100g)	Iodine (µg/100g)	Magnesium (mg/100g)	Manganese (mg/100g)	Phosphorus (mg/100g)	Potassium (mg/100g)	Selenium (µg/100g)	Sodium (mg/100g)	Zinc (mg/100g)	Retinol (µg/100g)	Beta-carotene (µg/100g)	Vitamin D (µg/100g)	Vitamin E (mg/100g)	Vitamin K1 (µg/100g)	Vitamin K2 (µg/100g)	Vitamin C (mg/100g)	Vitamin B1 or Thiamin (mg/100g)	Vitamin B2 or Riboflavin (mg/100g)	Vitamin B3 or Niacin (mg/100g)	Vitamin B5 or Pantothenic acid (mg/100g)	Vitamin B6 (mg/100g)	Vitamin B9 or Folate (µg/100g)	Vitamin B12 (µg/100g)
07	0709	000000	sugar and confectionery	cakes and pastry	-	23021	Rum baba		-	-	-	-	50,1	2,25	2,25	36,3	9,9	29,9	2,82	< 0,1	3,22	0,73	0,83	22,3	5,4	0,8	-	0,41	-	0,19	6,42	2,42	0,33	0,26	0,17	0,11	0,24	0,34	1	3,05	1,07	2,08	0,26	0,05	0,01	< 0,01	< 0,01	47	0,22	24	122	0,04	0,7	< 10	6,7	0,07	41	60	< 20	87	0,23	76,5	34,1	< 0,25	0,41	1,88	-	0,82	< 0,015	0,1	< 0,1	0,26	0,016	6,37	0,14
07	0709	000000	sugar and confectionery	cakes and pastry	-	23022	Canelé cake		-	-	-	-	26,3	5,31	5,2	59,4	3,7	37,6	< 0,2	-	< 0,2	3	< 0,2	34,6	20,2	2,6	-	0,74	traces	traces	2,11	0,98	0,4	0,0046	0,015	0,15	0,13	0,89	0,36	0,44	0,11	0,62	0,25	0,035	-	-	-	14,8	0,19	56,9	61	-	-	-	-	-	-	-	-	74,4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0709	000000	sugar and confectionery	cakes and pastry	-	23024	Macaron filled with jam or cream		-	-	-	-	11,9	10	10	49,7	21,2	45,2	0,97	-	1,06	< 0,2	< 0,2	43,1	4,58	2,9	-	1,13	0,1	traces	4,46	12,3	3,39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19,3	0,16	81	73	0,3	1,5	2	79,1	0,5	111	290	-	65,5	0,9	0	80	-	5,2	-	-	2,1	< 0,04	1,6	1,3	< 0,16	0,13	-	-
07	0709	000000	sugar and confectionery	cakes and pastry	-	23030	Christmas log cake		-	-	-	-	43,4	4,2	4,2	30,7	19,7	23,7	1,4	-	1,8	1,1	1	18,4	2,7	1,3	-	0,71	0,1	traces	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	89	0,18	58,3	90	< 1	1,6	< 10	22,7	< 1	94	157	< 3	72,8	< 1	127	-	-	1,5	-	-	1,1	< 0,05	0,23	0,47	0,3	< 0,05	67	0,4
07	0709	000000	sugar and confectionery	cakes and pastry	-	23032	Brownie (chocolate cake)		1910	458	1910	458	12,8	5,94	5,94	50,6	25,4	35,1	0,33	< 0,1	0,97	0,34	0,75	32,7	8,2	3,4	2,9	1,46	0	0,37	7,32	12,3	4,47	0,07	0,05	0,04	0,06	0,11	0,26	3,6	2,83	11,5	3,33	1,12	0,02	< 0,01	< 0,01	67,6	0,35	42	179	0,36	5	12	47	0,49	140	330	< 20	138	0,9	29,9	8,84	< 0,25	3,98	27,9	-	< 0,5	0,044	0,071	0,19	0,44	0,051	10,8	0,28
07	0709	000000	sugar and confectionery	cakes and pastry	-	23033	Rock-shaped coconut cake		-	-	-	-	13,1	4,46	4,46	53,7	24,1	47,5	-	-	-	-	-	-	-	7,08	-	0,52	0	traces	21,2	0,89	0,16	0	0,16	1,75	1,3	9,65	3,57	1,55	0,59	0,87	-	0	0	0	-	-	0,1	18,8	-	-	1	-	49,1	-	-	345	-	44	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0709	000000	sugar and confectionery	cakes and pastry	-	23050	Savoy-style sponge cake		-	-	-	-	33,2	5,9	6,05	56,3	0,8	-	-	-	-	-	-	-	-	1,5	-	2,44	0	traces	0,12	0,071	0,37	-	-	-	-	-	0,001	0,11	0,005	-	-	-	-	-	-	0	1,87	140	-	0,078	0,52	25	12	0,085	324	93	-	749	0,07	0	20	-	-	-	-	0	0,1	0,49	0,88	0,2	0,031	3	0,06
07	0709	000000	sugar and confectionery	cakes and pastry	-	23080	Pound cake		-	-	-	-	20,5	5,94	5,94	46	25,6	26,8	0,15	< 0,1	0,23	0,12	0,13	26,2	17,7	1,1	-	0,84	0	0,054	15,8	6,58	1,13	0,89	0,6	0,38	0,6	0,78	2,48	7,12	2,47	5,64	0,82	0,15	0,06	0,01	0,02	178	0,52	23	145	0,05	0,68	< 20	9,4	0,15	160	94	< 20	206	0,52	238	112	< 0,25	1,02	1,54	-	48	0,026	0,16	< 0,1	0,52	0,021	23,4	0,24
07	0709	000000	sugar and confectionery	cakes and pastry	-	23081	Butter pound cake, prepacked		-	-	-	-	19,4	5,94	5,94	48,2	23,9	26,4	< 0,1	< 0,1	0,33	< 0,1	0,27	25,8	17,2	1,1	-	1,38	0	0,1	15,2	5,88	1,03	0,69	0,46	0,29	0,68	0,82	2,54	7,14	2,13	4,96	0,76	0,13	0,05	0,01	0,02	164	1,07	19	390	0,06	0,74	< 20	10	0,2	190	92	< 20	426	0,51	220	139	< 0,25	0,89	2,23	-	< 0,5	0,039	0,096	0,37	0,66	0,016	9,28	0,31
07	0709	000000	sugar and confectionery	cakes and pastry	-	23082	Pound cake, prepacked		-	-	-	-	21,8	5,38	5,38	54,7	14,9	26,8	< 0,1	< 0,1	0,18	0,17	0,21	26,2	21,9	1,4	-	1,69	0	0,089	1,59	8,8	3,68	< 0,01	< 0,01	< 0,01	0,01	0,02	0,05	0,97	0,39	8,14	2,73	0,94	0,01	< 0,01	< 0,01	48,6	1,28	15	461	0,05	0,52	-	10	0,21	190	140	< 20	512	0,37	< 21	51,6	< 0,25	3,05	18,2	-	< 0,5	0,035	0,039	0,26	0,39	0,015	10,1	0,16
