alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_fr	alim_ssgrp_nom_fr	alim_ssssgrp_nom_fr	alim_code	alim_nom_fr	alim_nom_sci	Energie, Règlement UE N° 1169/2011 (kJ/100 g)	Energie, Règlement UE N° 1169/2011 (kcal/100 g)	Energie, N x facteur Jones, avec fibres  (kJ/100 g)	Energie, N x facteur Jones, avec fibres  (kcal/100 g)	Eau (g/100 g)	Protéines, N x facteur de Jones (g/100 g)	Protéines, N x 6.25 (g/100 g)	Glucides (g/100 g)	Lipides (g/100 g)	Sucres (g/100 g)	Fructose (g/100 g)	Galactose (g/100 g)	Glucose (g/100 g)	Lactose (g/100 g)	Maltose (g/100 g)	Saccharose (g/100 g)	Amidon (g/100 g)	Fibres alimentaires (g/100 g)	Polyols totaux (g/100 g)	Cendres (g/100 g)	Alcool (g/100 g)	Acides organiques (g/100 g)	AG saturés (g/100 g)	AG monoinsaturés (g/100 g)	AG polyinsaturés (g/100 g)	AG 4:0, butyrique (g/100 g)	AG 6:0, caproïque (g/100 g)	AG 8:0, caprylique (g/100 g)	AG 10:0, caprique (g/100 g)	AG 12:0, laurique (g/100 g)	AG 14:0, myristique (g/100 g)	AG 16:0, palmitique (g/100 g)	AG 18:0, stéarique (g/100 g)	AG 18:1 9c (n-9), oléique (g/100 g)	AG 18:2 9c,12c (n-6), linoléique (g/100 g)	AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)	AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)	AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)	AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)	Cholestérol (mg/100 g)	Sel chlorure de sodium (g/100 g)	Calcium (mg/100 g)	Chlorure (mg/100 g)	Cuivre (mg/100 g)	Fer (mg/100 g)	Iode (µg/100 g)	Magnésium (mg/100 g)	Manganèse (mg/100 g)	Phosphore (mg/100 g)	Potassium (mg/100 g)	Sélénium (µg/100 g)	Sodium (mg/100 g)	Zinc (mg/100 g)	Rétinol (µg/100 g)	Beta-Carotène (µg/100 g)	Vitamine D (µg/100 g)	Vitamine E (mg/100 g)	Vitamine K1 (µg/100 g)	Vitamine K2 (µg/100 g)	Vitamine C (mg/100 g)	Vitamine B1 ou Thiamine (mg/100 g)	Vitamine B2 ou Riboflavine (mg/100 g)	Vitamine B3 ou PP ou Niacine (mg/100 g)	Vitamine B5 ou Acide pantothénique (mg/100 g)	Vitamine B6 (mg/100 g)	Vitamine B9 ou Folates totaux (µg/100 g)	Vitamine B12 (µg/100 g)
07	0705	000000	produits sucrés	viennoiseries	-	7742	Brioche, de boulangerie traditionnelle		1570	374	1570	374	21,4	9,81	9,81	49,2	14,7	-	3,6	-	4,7	< 0,5	0,8	1,3	38	3	0	1,87	0	0	8,51	4,92	1,14	0,26	0,17	0,15	0,28	0,64	1,16	4,31	1,29	-	-	0,16	-	-	-	99	1,47	30	809	0,082	1,15	10	25,5	0,35	140	198	< 10	590	0,68	63	58	< 0,2	1,2	-	-	-	0,05	0,17	0,87	0,67	0,09	42	0,53
07	0705	000000	produits sucrés	viennoiseries	-	7744	Couronne de Noël (Brioche) aux fruits confits, préemballée		1490	355	1490	355	25	7,2	7,2	53,3	12,3	19,6	-	-	-	-	-	-	-	1,35	0	0,89	0	0	5,83	4,49	1,39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,89	-	-	-	-	-	-	-	-	-	-	354	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0705	000000	produits sucrés	viennoiseries	-	7745	Brioche pur beurre, préemballée		1540	366	1540	366	24	8	8	51,6	14	13,4	2,2	-	1,9	< 0,2	1,4	7,9	26,2	1,1	0	1,34	0	0	8,69	3,37	0,89	0,45	0,27	0,15	0,37	0,44	1,36	4,04	1,33	2,84	0,74	0,09	0,03	< 0,01	< 0,01	105	0,96	30	667	0,08	0,85	< 20	19	0,41	96	110	< 20	384	0,72	105	132	< 0,25	0,49	1,52	-	< 0,5	0,14	0,068	< 0,1	0,43	0,052	48,4	0,22
07	0705	000000	produits sucrés	viennoiseries	-	23467	Chouquette		1590	381	1590	381	23,5	7,76	7,76	42,6	18,6	27,1	< 0,2	-	< 0,2	< 0,2	< 0,2	27,1	15,5	6,1	0	1,4	0	0	9,89	5,19	1,47	0,51	0,24	0,18	0,39	0,55	1,26	5,06	1,52	4,51	1,17	0,14	0,061	0,0065	0,017	191	1,08	36	697	< 1	1,6	< 10	13,9	< 1	113	107	16	433	< 1	150	< 50	< 0,2	2,4	24,5	-	0	< 0,05	0,19	0,2	0,58	0,07	78,9	1,1
07	0705	000000	produits sucrés	viennoiseries	-	23480	Chausson aux pommes		1410	338	1410	338	36,2	4,17	4,17	36,6	18,7	11,2	3,5	-	3,6	< 0,2	2	2,1	25,2	3,1	0	1,15	0	0	10,3	2,8	1,21	0,38	0,26	0,18	0,35	0,54	1,35	5,96	1,28	2,8	1,15	0,061	-	-	-	45,6	0,87	15	-	0,038	0,44	7,24	10	0,1	150	106	1,3	340	0,3	99	63,6	0,32	1,21	-	-	5,36	0,1	0,051	0,67	0,084	0,065	5,15	0
07	0706	000000	produits sucrés	biscuits sucrés	-	7412	Tartine craquante, extrudée et grillée, fourrée au chocolat		-	-	-	-	5,5	7,85	7,85	64,3	16	30,2	< 0,5	-	< 0,5	1,8	< 0,5	26,2	34,1	4,65	-	1,7	0	0	4,88	5	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,34	173	394	-	3,7	< 10	56,2	< 1	190	411	< 5	134	1,2	-	< 50	-	3,8	-	-	-	0,32	0,14	3,15	0,54	< 0,05	35	-
07	0706	000000	produits sucrés	biscuits sucrés	-	7413	Tartine craquante, extrudée et grillée, fourrée aux fruits		-	-	-	-	8,9	4,91	5,38	74,7	6,44	28,8	4,9	-	8,9	< 0,5	< 0,5	13,5	37,1	3,92	-	1,1	0	0	1,72	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,43	145	253	-	< 1	< 10	24,5	< 1	129	160	< 5	169	< 1	-	< 50	-	4,7	-	-	< 1	0,35	0,07	3,6	0,5	< 0,05	30	-
07	0706	000000	produits sucrés	biscuits sucrés	-	23027	Macaron sec		-	-	-	-	-	6,9	6,9	77,7	10,2	74	-	-	-	-	-	-	-	3	-	0,2	0	0	0,6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0706	000000	produits sucrés	biscuits sucrés	-	24000	Biscuit sec, sans précision		-	-	-	-	4,2	6,9	6,9	65	20,6	24,7	0	-	0,036	0,15	0	24,5	40,3	2,03	-	1,2	0	0	6,09	8,28	2,13	0	0,14	0,28	0,28	0,9	0,78	2,41	1,3	6,41	1,76	0,37	-	0	0	65	0,63	26,5	-	0,13	1,58	2,3	16	0,66	152	129	24	252	0,62	0	0	0,4	0,76	5,9	-	0	0,2	0,19	2,06	0,34	0,031	14	0,075
07	0706	000000	produits sucrés	biscuits sucrés	-	24001	Biscuit sec nature		-	-	-	-	3,88	6,77	6,77	70	15,1	23,6	0	-	0	0	3,2	18,4	32	2,81	-	1,48	0	0	6,81	5,58	2,04	0	0	0	0,48	0	0,067	1,8	1,59	5,58	1,86	0,16	-	0	0	3	0,84	39,5	-	0,1	2,12	1,9	15,3	0,47	150	125	< 2,2	334	0,47	0	0	0	0,26	5,9	-	0	0,2	0,19	2,34	0,39	0,049	14,9	0,05
