Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
49407	49411	4886	true	75018710	Saare maakond, Muhu vald, Liiva küla, Vallamaja	MUHU VALLAVALITSUS	Muhu Lasteaia köök	Toitlustamine	Saaremaa	Liiva küla, Muhu vald, Saaremaa, 94701	58.6043691	23.239164
65867	65869	4887	true	10742197	Saare maakond, Saaremaa vald, Kuressaare linn, Mooni tn 10-8	OSAÜHING AKOPI	Tõllu pood	Jaemüük	Saaremaa	Tõllu, Kõrkküla, Saaremaa vald, Saaremaa, 93527	58.2721639	22.2618732
74242	74267	4892	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Salme kauplus	Jaemüük	Saaremaa	Sõrve mnt 10, Salme alevik, Saaremaa vald, Saare maakond, 93201	58.1624033	22.2498339
66767	66768	4894	true	11102844	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 16	OSAÜHING KESSUKE	Kessu kohvik	Toitlustamine	Saaremaa	Tallinna tn 16, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2539494	22.4890332
64756	64758	4895	true	10336575	Saare maakond, Saaremaa vald, Kuressaare linn, Lossi tn 9	OSAÜHING CLASSIC KOHVIK	Classic Kohvik	Toitlustamine	Saaremaa	Lossi tn 9, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2513236	22.4841878
50703	50704	4896	true	75023199	Saare maakond, Ruhnu vald, Ruhnu küla, Kirikla	RUHNU PÕHIKOOL	Ruhnu Põhikool	Toitlustamine	Saaremaa	Kooli, Ruhnu küla, Ruhnu vald, Saaremaa, 93001	57.805148	23.2460512
66231	66234	4897	true	10901017	Saare maakond, Ruhnu vald, Ruhnu küla	OSAÜHING LIISE TALU RUHNU SAAREL	Talu söögimaja	Toitlustamine	Saaremaa	Liisi, Ruhnu küla, Ruhnu vald, Saaremaa, 93001	57.8058752	23.2414633
74242	74265	4899	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Kaubaait	Jaemüük	Saaremaa	Tehnika tn 5, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2636876	22.4910477
73845	73846	49	true	11402569	Harju maakond, Anija vald, Linnakse küla, Läti	RAASIKU LIHATÖÖSTUS OÜ	OÜ Raasiku Lihatööstus	Liha käitlemine	Harjumaa	Linnakse, Linnakse küla, Anija vald, Harjumaa, 75220	59.3381277	25.1941201
68074	68075	4900	true	11658797	Saare maakond, Saaremaa vald, Kuressaare linn, Tori tn 2	OÜ GOSPA	Georg Ots Spa hotelli restoran	Toitlustamine	Saaremaa	Tori 2, Saaremaa vald, Kuressaare linn, Saare maakond, 93810	58.2465117	22.4709083
64300	64303	4901	true	10206205	Saare maakond, Saaremaa vald, Kuressaare linn, Talve tn 77	OSAÜHING HAAKERI	Kaali Külastuskeskuse Toidukauplus	Jaemüük	Saaremaa	Kaali küla, Saaremaa vald, Saare maakond, 94143	58.3567528	22.6710871
117204	50707	4902	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Kuressaare Gümnaasiumi Söökla	Toitlustamine	Saaremaa	Nooruse 1, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2483266	22.4987428
72657	72691	4907	true	10136870	Tartu maakond, Tartu linn, Tartu linn, Võru tn 79	AKTSIASELTS OLEREX	Kuressaare tankla	Jaemüük	Saaremaa	Tallinna tn 84, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2643736	22.5129847
74242	74264	4909	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Rae Konsum	Jaemüük	Saaremaa	Raekoja 10, Saaremaa vald, Kuressaare linn, Saare maakond, 93814	58.2526087	22.4863184
65504	65506	4910	true	10594199	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 37	OSAÜHING KARLECO	Cafe Remark	Toitlustamine	Saaremaa	Tallinna tn 20, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2542213	22.4898077
76029	76033	4920	true	10399457	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Merimetsa tee 1	AS HOOLEKANDETEENUSED	Sõmera Kodu	Toitlustamine	Saaremaa	Lasteaia 4, Kärla alevik, Saaremaa vald, Saare maakond, 93501	58.3154571	22.2466038
63987	63988	4922	true	10130318	Saare maakond, Saaremaa vald, Kuressaare linn, Kauba tn 8	OSAÜHING THEODOR VVH	Vanalinna	Toitlustamine	Saaremaa	Kauba 8, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2534584	22.4837753
117204	50711	4931	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Kuressaare Rohu Lasteaed	Toitlustamine	Saaremaa	Rohu 4, Saaremaa vald, Kuressaare linn, Saare maakond, 93812	58.2572241	22.4867186
117204	50495	4932	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Kaali Kooli söökla	Toitlustamine	Saaremaa	Kaali küla, Saaremaa vald, Saare maakond, 94143	58.3567528	22.6710871
117204	50619	4934	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Kahtla Lasteaed - Põhikooli söökla	Toitlustamine	Saaremaa	Kahtla küla, Saaremaa vald, Saare maakond, 94420	58.3992249	22.9586465
64857	64858	4936	true	10357370	Saare maakond, Saaremaa vald, Laimjala küla, Kaupluse	OSAÜHING PAIOS	Laimjala kauplus	Jaemüük	Saaremaa	Kaupluse, Laimjala küla, Saaremaa vald, Saaremaa, 94401	58.4264814	22.9980524
117204	50641	4938	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Salme Põhikooli söökla	Toitlustamine	Saaremaa	Salme alevik, Saaremaa vald, Saare maakond, 93201	58.1627022	22.2492061
117204	50706	4939	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Saaremaa Ühisgümnaasiumi söökla Sygla	Toitlustamine	Saaremaa	Hariduse 13, Saaremaa vald, Kuressaare linn, Saare maakond, 93812	58.2595398	22.489214
67245	67247	4940	true	11322675	Saare maakond, Saaremaa vald, Kuressaare linn, J. Smuuli tn 5-44	OSAÜHING EHAKAS	Luksusjahi söökla	Toitlustamine	Saaremaa	Roomassaare tee 6b, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.223354	22.5045014
74242	74259	4943	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Kihelkonna kauplus	Jaemüük	Saaremaa	Lümanda mnt 2, Kihelkonna alevik, Saaremaa vald, Saare maakond, 93401	58.3596232	22.0375657
74242	74261	4944	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Lümanda kauplus	Jaemüük	Saaremaa	Lümanda küla, Saaremaa vald, Saare maakond, 93301	58.2869502	22.0283263
70225	70226	4945	true	80002674	Saare maakond, Saaremaa vald, Kuressaare linn, Uus-Roomassaare tn 14	ERALASTEAED KÕIGE SUUREM SÕBER	Eralasteaed Kõige Suurem Sõber	Toitlustamine	Saaremaa	Uus-Roomassaare 14, Kuressaare linn, Saaremaa vald, Saaremaa, 93816	58.2449253	22.4861418
74242	74260	4946	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Leisi kauplus	Jaemüük	Saaremaa	Mustjala mnt 5, Leisi alevik, Saaremaa vald, Saaremaa, 94202	58.3612261	22.0405039
74242	74256	4948	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Saikla kauplus	Jaemüük	Saaremaa	Saikla küla, Saaremaa vald, Saare maakond, 94634	58.5316373	23.0170208
117204	50607	4949	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Tornimäe Lasteaed	Toitlustamine	Saaremaa	Lasteaia, Kärneri küla, Saaremaa vald, Saaremaa, 94542	58.4035931	22.9980724
62172	62173	495	true	10251016	Pärnu maakond, Kihnu vald, Lemsi küla, Suaru sadam	AKTSIASELTS KIHNU KALA	AS Kihnu Kala	Kala käitlemine	Pärnumaa	Vana-Sauga 24, Pärnu linn, Pärnu linn, Pärnu maakond, 80031	58.3918974	24.4743559
66007	66008	4953	true	10820023	Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 50	MÖNUS VILLEM OSAÜHING	Mönus Villem	Toitlustamine	Saaremaa	Tallinna tn 63b, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2607878	22.5028781
67580	67581	4954	true	11450976	Saare maakond, Saaremaa vald, Kuressaare linn, Kauba tn 2	SPRING CAFE OÜ	Chameleon	Toitlustamine	Saaremaa	Kauba 2, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2529911	22.4841887
67086	67087	4957	true	11247850	Saare maakond, Saaremaa vald, Kipi küla, Kapa/4	OSAÜHING KIPI-KOOVI	Kapa Kantri Kohvik	Toitlustamine	Saaremaa	Kapa, Kipi küla, Saaremaa vald, Saaremaa, 93313	58.2467669	22.0314782
66671	66672	4958	true	11062837	Saare maakond, Saaremaa vald, Kuressaare linn, Komandandi tn 9a	OSAÜHING SAARE PARTNER	Pritsumaja Grill & Bar	Toitlustamine	Saaremaa	Tallinna tn 4, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.252937	22.4859264
62217	62218	496	true	10626657	Jõgeva maakond, Mustvee vald, Mustvee linn, Tähe tn 11a	OSAÜHING JÄRVETÄHE	OÜ Järvetähe	Kala käitlemine	Jõgevamaa	Jõgeva maakond, Mustvee vald, Mustvee linn, Tähe tn 11a, 49603	58.8501696	26.9410983
65704	65705	4961	true	10679033	Saare maakond, Saaremaa vald, Jõgela küla, Pilguse	OSAÜHING PILGUSE MÕIS	Osaühing Pilguse Mõis	Toitlustamine	Saaremaa	Pilguse, Jõgela küla, Saaremaa vald, Saaremaa, 93312	58.2637598	21.9861483
66138	66139	4962	true	10863400	Saare maakond, Saaremaa vald, Kuressaare linn, Lossipark 4	OSAÜHING VIKINGBÜROO	Karujärve Toidutare	Toitlustamine	Saaremaa	Paiküla, Saaremaa vald, Saare maakond, 93562	58.3573087	22.2278378
74242	74255	4965	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Mustjala kauplus	Jaemüük	Saaremaa	Alevi 6, Mustjala küla, Saaremaa vald, Saaremaa, 93601	58.4617675	22.2336023
49493	49494	4966	true	70003744	Saare maakond, Saaremaa vald, Kuressaare linn, Kohtu tn 22	KURESSAARE AMETIKOOL	Kass	Toitlustamine	Saaremaa	Vallimaa 5a, Saaremaa vald, Kuressaare linn, Saare maakond, 93812	58.2565787	22.4838413
68385	68386	4967	true	11801275	Saare maakond, Saaremaa vald, Upa küla, Kaali-Mihkli	ÜLLE TORN	Kadaka Villa	Toitlustamine	Saaremaa	Kaali-Mihkli, Upa küla, Saaremaa vald, Saare maakond, 93857	58.2796155	22.5458682
66427	66428	4968	true	10946592	Tartu maakond, Tartu linn, Tartu linn, Remmelga tn 14	VANLISA OÜ	Uue tänava toidukauplus	Jaemüük	Tartumaa	Uus 46, Tartu linn, Tartu linn Tartu maakond, 50603	58.3807068	26.7423308
66412	66413	4972	true	10942186	Tartu maakond, Tartu linn, Tartu linn, Tähe tn 61	OÜ KUU KAUBANDUS	Kuu kauplus	Jaemüük	Tartumaa	Tähe 61, Tartu linn, Tartu linn Tartu maakond, 50103	58.3668949	26.7294148
51105	51149	4975	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Lasteaed Krõll köök	Toitlustamine	Tartumaa	Anne 67, Tartu linn, Tartu linn Tartu maakond, 50704	58.3761067	26.7604715
51105	51125	4978	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Lasteaia Hellik köök	Toitlustamine	Tartumaa	Aardla 138, Tartu linn, Tartu linn Tartu maakond, 50415	58.3525334	26.6845539
131203	50644	4979	true	90014402	Tartu maakond, Elva vald, Elva linn, Kesk tn 17	SIHTASUTUS ELVA TEENUSED	Pääsusilm Puhja Lasteaed	Toitlustamine	Tartumaa	Nooruse 6, Puhja alevik, Elva vald, Tartu maakond, 61301	58.3345064	26.3114366
74746	74748	498	true	10019495	Tartu maakond, Peipsiääre vald, Kolkja alevik, Sadama tn 5	AKTSIASELTS PEIPSI KALAMEES	AS Peipsi kalamees kalatsehh	Kala käitlemine	Tartumaa	Kolkja alevik, Peipsiääre vald, Tartumaa, 60306	58.5465586	27.2082639
51105	51146	4980	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Lasteaed "Helika"	Toitlustamine	Tartumaa	Kalevi 52a, Tartu linn, Tartu linn Tartu maakond, 50103	58.3708968	26.7355346
51105	51127	4981	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Lasteaed Rukkilill köök	Toitlustamine	Tartumaa	Sepa 18, Tartu linn, Tartu linn Tartu maakond, 50113	58.3506017	26.7257794
65421	65422	4982	true	10564713	Tartu maakond, Peipsiääre vald, Koosa küla	ANNA USSANOVA HEA POOD	Hea Pood	Jaemüük	Tartumaa	Tartu maakond, Peipsiääre vald, Koosa küla, 60432	58.5210035	27.0830782
117192	49891	4983	true	77000192	Tartu maakond, Peipsiääre vald, Alatskivi alevik, Tartu mnt 4	PEIPSIÄÄRE VALLAVALITSUS	Alatskivi lasteaia köök	Toitlustamine	Tartumaa	Kooli 2, Alatskivi alevik, Peipsiääre vald, Tartu maakond, 60201	58.5983038	27.1347805
72657	72697	4984	true	10136870	Tartu maakond, Tartu linn, Tartu linn, Võru tn 79	AKTSIASELTS OLEREX	Alatskivi kauplus-tankla	Jaemüük	Tartumaa	Tartu mnt 14, Alatskivi alevik, Peipsiääre vald, Tartu maakond, 60201	58.5999091	27.1337646
117192	49890	4985	true	77000192	Tartu maakond, Peipsiääre vald, Alatskivi alevik, Tartu mnt 4	PEIPSIÄÄRE VALLAVALITSUS	Alatskivi Keskkooli söökla	Toitlustamine	Tartumaa	Kooli 1, Alatskivi alevik, Peipsiääre vald, Tartu maakond, 60201	58.5996687	27.1356609
71517	71518	499	true	10984055	Jõgeva maakond, Mustvee vald, Kalmaküla, Vektami	OÜ KALMA KAUBANDUS	OÜ Kalma Kaubandus	Kala käitlemine	Tartumaa	Päiksi tee 3, Alatskivi alevik, Peipsiääre vald, Tartumaa, 60201	58.5989622	27.124547
71383	71385	4991	true	11202149	Tartu maakond, Tartu linn, Tartu linn, Fortuuna tn 1	GUSTAV CAFE OÜ	Werneri Café-Lounge	Toitlustamine	Tartumaa	Ülikooli 11, Tartu linn, Tartu linn, Tartumaa, 51003	58.3805181	26.7209742
67284	67287	4992	true	11349438	Tartu maakond, Tartu linn, Tartu linn, Soola tn 6	OSAÜHING DORPAT	Hotell Dorpat restoran	Toitlustamine	Tartumaa	Soola 6, Tartu linn, Tartu linn, Tartumaa, 51013	58.3786903	26.732727
71543	71545	4993	true	10023166	Tartu maakond, Tartu linn, Tartu linn, Kalda tee 30-67	KÕRVEKÜLA KALATÖÖSTUSE AS	Kõrveküla Kalatööstuse AS	Jaemüük	Tartumaa	Vabaduse pst 1, Tartu linn, Tartu linn Tartu maakond, 51004	58.3787003	26.7285813
67391	67459	5001	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Tartu Descartes'i Kool	Toitlustamine	Tartumaa	Anne 65, Tartu linn, Tartu linn Tartu maakond, 50703	58.3756261	26.7576871
51105	51145	5002	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Lasteaed Annike köök	Toitlustamine	Tartumaa	Anne 9, Tartu linn, Tartu linn Tartu maakond, 50603	58.3809418	26.7436942
63384	63400	5003	true	10023216	Tartu maakond, Elva vald, Elva linn, Kesk tn 1	ELVA TARBIJATE ÜHISTU	Arbimäe Konsum	Jaemüük	Tartumaa	Kirde 3, Elva linn, Elva vald, Tartumaa, 61506	58.2340019	26.4154067
51105	51139	5004	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Turuhoone	Toitlustamine	Tartumaa	Kopli 1, Tartu linn, Tartu linn Tartu maakond, 50115	58.3494554	26.7141134
67391	67458	5009	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Tartu Kristjan Jaak Petersoni Gümnaasium	Toitlustamine	Tartumaa	Kaunase pst 70, Tartu linn, Tartu linn Tartu maakond, 50706	58.3761932	26.771972
117184	49951	5010	true	77000370	Tartu maakond, Kastre vald, Kurepalu küla, Vallamaja	KASTRE VALLAVALITSUS	Sillaotsa Kool (lasteaed-põhikool)	Toitlustamine	Tartumaa	Kesktänav 9, Roiu alevik, Kastre vald, Tartu maakond, 62122	58.2997401	26.8681607
63326	63327	5011	true	10007434	Tartu maakond, Kastre vald, Kurepalu küla	ANNELI PLEKSNER	Vainu pood	Jaemüük	Tartumaa	Kurepalu küla, Kastre vald, Tartumaa, 62113	58.3132985	26.8491035
68285	68286	5012	true	11736419	Tartu maakond, Kambja vald, Tõrvandi alevik, Ringtee 11-27	OÜ HELLER KAUBANDUS	Talev 1 kauplus	Jaemüük	Tartumaa	Ringtee 10a, Tõrvandi alevik, Kambja vald, Tartumaa, 61715	58.3231506	26.7036682
68285	68287	5013	true	11736419	Tartu maakond, Kambja vald, Tõrvandi alevik, Ringtee 11-27	OÜ HELLER KAUBANDUS	Tõrvandi Pagar	Jaemüük	Tartumaa	Tartu maakond, Kambja vald, Tõrvandi alevik, Papli tn 6, 61715	58.3221843	26.7058947
117192	49975	5016	true	77000192	Tartu maakond, Peipsiääre vald, Alatskivi alevik, Tartu mnt 4	PEIPSIÄÄRE VALLAVALITSUS	Koosa Lasteaia köök	Toitlustamine	Tartumaa	Tartu maakond, Peipsiääre vald, Koosa küla, Lasteaia, 60432	58.525011	27.080512
75206	75208	5019	true	10007977	Tartu maakond, Peipsiääre vald, Alatskivi alevik	OSAÜHING "ISLAMEL"	Kivi Kõrts	Toitlustamine	Tartumaa	Tartu mnt, Alatskivi alevik, Peipsiääre vald, Tartu maakond,	58.6020468	27.1352739
117182	49999	5021	true	77000275	Tartu maakond, Kambja vald, Ülenurme alevik, Pargi tn 2	KAMBJA VALLAVALITSUS	Kuuste kooli söökla	Toitlustamine	Tartumaa	Tartu maakond, Kambja vald, Vana-Kuuste küla, 62033	58.2659788	26.7927352
70567	70568	5022	true	90007709	Tartu maakond, Kambja vald, Virulase küla, Aarike	SIHTASUTUS AARIKE HOOLDEKESKUS	Hooldekeskuse köök	Toitlustamine	Tartumaa	Tartu maakond, Kambja vald, Virulase küla, 62030	58.2478521	26.6409202
65522	65523	5023	true	10609937	Tartu maakond, Peipsiääre vald, Varnja alevik, Koosa tn 1	NIKOLAI POLJAKOV	Kauplus Varnja	Jaemüük	Tartumaa	Tartu maakond, Peipsiääre vald, Varnja alevik, Koosa tn 1, 60305	58.4905736	27.2365276
49759	49763	5024	true	75003476	Tartu maakond, Luunja vald, Luunja alevik, Puiestee tn 14	LUUNJA VALLAVALITSUS	Kavastu Algkool-lasteaed	Toitlustamine	Tartumaa	Kavastu küla, Luunja vald, Tartumaa, 62204	58.3874575	27.0860636
49441	49443	5027	true	70000898	Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Ameerika tn 1	JUSTIITSMINISTEERIUM	Tartu Vangla söökla	Toitlustamine	Tartumaa	Turu 56, Tartu linn, Tartu linn, Tartumaa, 51014	58.3442819	26.7459063
72398	72400	5027	true	11479170	Tartu maakond, Tartu linn, Tartu linn, F. R. Kreutzwaldi tn 60/1	OÜ SCARLET CATERING	Trepi kohvik	Toitlustamine	Tartumaa	F. R. Kreutzwaldi 60, Tartu linn, Tartu linn Tartu maakond, 51014	58.3896103	26.6914062
65423	65424	5029	true	10565364	Tartu maakond, Kastre vald, Järvselja küla	MARGE TOHVRI	Järvselja söögimaja	Toitlustamine	Tartumaa	Tartu maakond, Kastre vald, Järvselja küla, 62506	58.254007	27.3308345
72470	72472	5030	true	10831417	Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 1-36	OÜ JAGULA	Hotell "Starest"	Toitlustamine	Tartumaa	Mõisavahe 21, Tartu linn, Tartu linn, Tartumaa, 50707	58.37032	26.7749244
62202	62203	504	true	10656492	Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 72a	OSAÜHING AVEKTRA	OÜ Avektra	Kala käitlemine	Harjumaa	Punane 72a, Lasnamäe linnaosa, Tallinn, Harjumaa, 13619	59.4380406	24.8590063
67679	67680	5040	true	11498842	Tartu maakond, Tartu linn, Tartu linn, Soola tn 3	OÜ PEOPAIK	Tartu kohvik	Toitlustamine	Tartumaa	Soola 3, Tartu linn, Tartu linn Tartu maakond, 51013	58.377524	26.7332038
64075	64092	5043	true	10151355	Tartu maakond, Tartu linn, Tartu linn, Riia tn 2	TULUNDUSÜHISTU TARTU TARBIJATE KOOPERATIIV	Veeriku Konsum	Jaemüük	Tartumaa	Viljandi mnt 13, Tartu linn, Tartu linn Tartu maakond, 50412	58.371343	26.6934459
51105	51143	5046	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Lasteaed Midrimaa	Toitlustamine	Tartumaa	Vanemuise 28, Tartu linn, Tartu linn, Tartumaa, 51003	58.3751059	26.7202117
51105	51140	5049	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Lasteaed Kivike	Toitlustamine	Tartumaa	Kivi 44, Tartu linn, Tartu linn Tartu maakond, 51009	58.3849304	26.7330852
65520	65521	5050	true	10607996	Tartu maakond, Tartu linn, Tartu linn, Kivi tn 40a-12	TARMO ERIK	Kirsi pood	Jaemüük	Tartumaa	Kivi 40a, Tartu linn, Tartu linn Tartu maakond, 51009	58.3841043	26.7322013
51105	51144	5051	true	75006546	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a	TARTU LINNAVALITSUS	Tartu Lasteaed "Naerumaa"	Toitlustamine	Tartumaa	Õpetaja 10, Tartu linn, Tartu linn Tartu maakond, 51003	58.3744988	26.7165741
72887	72905	5052	true	90001478	Tartu maakond, Tartu linn, Tartu linn, L. Puusepa tn 1a	SIHTASUTUS TARTU ÜLIKOOLI KLIINIKUM	Neonatoloogia osakond toidujagamisruum	Toitlustamine	Tartumaa	N. Lunini 6, Tartu linn, Tartu linn, Tartumaa, 51014	58.3674291	26.6978973
72887	72906	5053	true	90001478	Tartu maakond, Tartu linn, Tartu linn, L. Puusepa tn 1a	SIHTASUTUS TARTU ÜLIKOOLI KLIINIKUM	lasteneuroloogia osakonna toidujagamisruum	Toitlustamine	Tartumaa	N. Lunini 6, Tartu linn, Tartu linn, Tartumaa, 51014	58.3674291	26.6978973
70577	70578	5058	true	90007968	Tartu maakond, Peipsiääre vald, Alatskivi alevik, Päiksi tee 2	SIHTASUTUS PEIPSIVEERE HOOLDUSRAVIKESKUS	SA Peipsiveere Hooldusravikeskuse köök	Toitlustamine	Tartumaa	Päiksi tee 2, Alatskivi alevik, Peipsiääre vald, Tartu maakond, 60201	58.59954	27.1265411
70558	77473	5061	true	90007431	Tartu maakond, Tartu linn, Tartu linn, Puiestee tn 13a	SIHTASUTUS TARTU VAIMSE TERVISE HOOLDEKESKUS	Töö- ja Rehabilitatsioonikeskuse söögikoht	Toitlustamine	Tartumaa	Staadioni 52, Tartu linn, Tartu linn, Tartumaa, 51008	58.3933307	26.7170713
117192	51065	5062	true	77000192	Tartu maakond, Peipsiääre vald, Alatskivi alevik, Tartu mnt 4	PEIPSIÄÄRE VALLAVALITSUS	Kallaste lasteaed-põhikool	Toitlustamine	Tartumaa	Sõpruse 4, Kallaste linn, Peipsiääre vald, Tartu maakond, 60104	58.6672412	27.157291
71759	71835	5068	true	10263574	Harju maakond, Rae vald, Pildiküla, Põrguvälja tee 3	RIMI EESTI FOOD AS	Tartu Hyper Rimi	Jaemüük	Tartumaa	Rebase 10, Tartu linn, Tartu linn, Tartumaa, 50104	58.3683278	26.7390967
66775	66776	5070	true	11106658	Tartu maakond, Tartu linn, Tartu linn, Rästa tn 12	OÜ KOKNET INVEST	R - Baar	Toitlustamine	Tartumaa	Riia 136, Tartu linn, Tartu linn Tartu maakond, 51014	58.3587655	26.6856456
64719	64720	5073	true	10323879	Tartu maakond, Kambja vald, Ülenurme alevik, Vahtra tn 21	OSAÜHING NAOSAR	Baar-restoran Naos	Toitlustamine	Tartumaa	Vahtra 21, Ülenurme alevik, Kambja vald, Tartumaa, 61714	58.3058176	26.7186849
63351	63353	5076	true	10015273	Tartu maakond, Kambja vald, Reola küla, Vanakooli tee 4	ABACUS OÜ	Reola tankla-kauplus	Jaemüük	Tartumaa	Reola küla, Kambja vald, Tartumaa, 61707	58.3004756	26.6942977
63351	63352	5077	true	10015273	Tartu maakond, Kambja vald, Reola küla, Vanakooli tee 4	ABACUS OÜ	Reola kauplus	Jaemüük	Tartumaa	Reola küla, Kambja vald, Tartumaa, 61707	58.3004756	26.6942977
71901	71969	5078	true	10765896	Harju maakond, Tallinn, Mustamäe linnaosa, Aiandi tn 13/2	MAXIMA EESTI OÜ	Maxima X	Jaemüük	Tartumaa	Anne 57, Tartu linn, Tartu linn Tartu maakond, 50703	58.3750558	26.7564363
64075	64089	5079	true	10151355	Tartu maakond, Tartu linn, Tartu linn, Riia tn 2	TULUNDUSÜHISTU TARTU TARBIJATE KOOPERATIIV	Kallaste kauplus	Jaemüük	Tartumaa	Oja 16, Kallaste linn, Peipsiääre vald, Tartu maakond, 60103	58.6608532	27.1610644
64310	64311	5080	true	10209215	Tartu maakond, Tartu linn, Tartu linn, Kaunase pst 62-3	OSAÜHING REIVALI EHITUS	Ümarlaua baar	Toitlustamine	Tartumaa	Narva mnt 107, Tartu linn, Tartu linn Tartu maakond, 51008	58.3876899	26.7274086
70354	70357	5081	true	80209375	Tartu maakond, Tartu linn, Tartu linn, Riia tn 27	EESTI EVANGEELSE LUTERLIKU KIRIKU TARTU PAULUSE KOGUDUS	Pauluse köök	Toitlustamine	Tartumaa	Riia 27, Tartu linn, Tartu linn Tartu maakond, 51010	58.3714758	26.7156752
70308	70309	5082	true	80134677	Tartu maakond, Tartu linn, Tartu linn, Mäe tn 33	MTÜ VAHTRAMÄGI	Mäe kodu köök	Toitlustamine	Tartumaa	Mäe 33, Tartu linn, Tartu linn Tartu maakond, 51008	58.3875594	26.7319306
64420	64421	5084	true	10242750	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 2	TONY OÜ	Draakoni Hotelli restorani kompleks	Toitlustamine	Tartumaa	Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 2/4, 51003	58.3802947	26.7212611
