Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
50499	50501	11052	true	75018851	Rapla maakond, Kohila vald, Kohila alev, Vabaduse tn 1	KOHILA VALLAVALITSUS	Kohila Lasteaed Sipsik	Toitlustamine	Raplamaa	Posti 5a, Kohila alev, Kohila vald, Raplamaa, 79806	59.1730741	24.7519777
117185	50656	11053	true	77000252	Rapla maakond, Kehtna vald, Kehtna alevik, Pargi tn 2	KEHTNA VALLAVALITSUS	Kehtna Lasteaed Siller Lelle rühm	Toitlustamine	Raplamaa	Viljandi mnt 46, Lelle alevik, Kehtna vald, Raplamaa, 79002	58.8606649	25.0051896
117185	50655	11058	true	77000252	Rapla maakond, Kehtna vald, Kehtna alevik, Pargi tn 2	KEHTNA VALLAVALITSUS	Eidapere Kool	Toitlustamine	Raplamaa	Tallinna mnt 23c, Eidapere alevik, Kehtna vald, Raplamaa, 79003	58.7523537	24.9418581
70950	70951	1106	true	10872505	Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 34a	LOIGO MARINE SUPPLY OÜ	Loigo Marine Supply	Hulgimüük	Harjumaa	Peterburi tee 34a, Lasnamäe linnaosa, Tallinn, Harjumaa, 11415	59.4253199	24.8058937
117190	50697	11060	true	77000447	Rapla maakond, Märjamaa vald, Märjamaa alev, Tehnika tn 11	MÄRJAMAA VALLAVALITSUS	Valgu Põhikooli söökla	Toitlustamine	Raplamaa	Mõisa, Valgu küla, Märjamaa vald, Raplamaa, 78204	58.8712695	24.4658867
117202	50811	11061	true	77000312	Rapla maakond, Rapla vald, Rapla linn, Viljandi mnt 17	RAPLA VALLAVALITSUS	Kaiu Põhikooli toidu jagamisruumid	Toitlustamine	Raplamaa	Leandri tee 1, Kaiu alevik, Rapla vald, Raplamaa, 79301	59.0141	25.0512487
117202	50745	11064	true	77000312	Rapla maakond, Rapla vald, Rapla linn, Viljandi mnt 17	RAPLA VALLAVALITSUS	Juuru Eduard Vilde Kool	Toitlustamine	Raplamaa	Tallinna mnt 18, Juuru alevik, Rapla vald, Raplamaa, 79401	59.0598242	24.9592474
117202	50717	11065	true	77000312	Rapla maakond, Rapla vald, Rapla linn, Viljandi mnt 17	RAPLA VALLAVALITSUS	Rapla Hooldekeskus	Toitlustamine	Raplamaa	Kuusiku tee 5, Rapla linn, Rapla vald, Raplamaa, 79511	58.9981976	24.789537
63601	63602	11066	true	10059951	Rapla maakond, Rapla vald, Kodila küla	OSAÜHING VARREMON	Rummu Pood	Jaemüük	Raplamaa	Poe 1, Kodila küla, Rapla vald, Raplamaa, 79603	59.0405406	24.6685161
65546	65547	11068	true	10615978	Rapla maakond, Rapla vald, Vahastu küla, Tuuleristi	OSAÜHING SAAMAPUU	Tuule Äri	Jaemüük	Raplamaa	Vahastu kauplus, Vahastu küla, Rapla vald, Raplamaa, 79303	58.9274	25.247302
64882	64888	11071	true	10359831	Rapla maakond, Rapla vald, Rapla linn, Hariduse tn 3	RAPLA TARBIJATE ÜHISTU	Raikküla A ja O	Toitlustamine	Raplamaa	Raikküla kauplus, Raikküla, Rapla vald, Raplamaa, 78402	58.9436304	24.7370658
67391	67425	11072	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Märjamaa Gümnaasiumi söökla	Toitlustamine	Raplamaa	Tamme tee 1, Märjamaa alev, Märjamaa vald, Raplamaa, 78304	58.9064444	24.4272198
65110	65111	11073	true	10428638	Rapla maakond, Kehtna vald, Järvakandi alev, Tallinna mnt 21	OSAÜHING TULIHEIN	Tulihein OÜ	Toitlustamine	Raplamaa	Tallinna mnt 21, Järvakandi alev, Kehtna vald, Rapla maakond, 79101	58.7775811	24.818119
65608	65609	11074	true	10637980	Rapla maakond, Rapla vald, Järlepa küla, Keskuse tn 2	OÜ ATMANIS GRUPP	Järlepa kauplus	Jaemüük	Raplamaa	Keskuse 2, Järlepa küla, Rapla vald, Raplamaa, 79411	59.1366565	24.9257749
71759	71771	11075	true	10263574	Harju maakond, Rae vald, Pildiküla, Põrguvälja tee 3	RIMI EESTI FOOD AS	Märjamaa Mini Rimi	Jaemüük	Raplamaa	Pärnu mnt 76a, Märjamaa alev, Märjamaa vald, Raplamaa, 78301	58.9011476	24.4207425
117190	50696	11077	true	77000447	Rapla maakond, Märjamaa vald, Märjamaa alev, Tehnika tn 11	MÄRJAMAA VALLAVALITSUS	Kasti-Orgita Lasteaed	Toitlustamine	Raplamaa	Lasteaia, Kasti küla, Märjamaa vald, Raplamaa, 78221	58.8696277	24.5338544
65711	65712	11078	true	10680786	Rapla maakond, Märjamaa vald, Kasti küla, Kasti keskus 8-1	THEA RAHUOJA JORRU KOHVIK-BAAR	Rahvamaja kohvik	Toitlustamine	Raplamaa	Sauna 2, Märjamaa alev, Märjamaa vald, Raplamaa, 78302	58.9043459	24.4282709
74427	74430	11081	true	11916877	Rapla maakond, Rapla vald, Rapla linn, Tallinna mnt 17a	OÜ ARTUR JA CATERING	Arturi Trahter	Toitlustamine	Raplamaa	Arturi 2, Valtu küla, Rapla vald, Raplamaa, 79531	58.977295	24.8480229
66140	66141	11082	true	10865110	Rapla maakond, Märjamaa vald, Teenuse küla	ALEKSANDR BARANOV	Teenuse kauplus - baar	Jaemüük	Raplamaa	Kaupluse, Teenuse küla, Märjamaa vald, Raplamaa, 78103	58.8207801	24.1786274
64477	64478	11084	true	10264243	Harju maakond, Tallinn, Kristiine linnaosa, Mooni tn 9-8	OSAÜHING RONMER	Mini Market	Jaemüük	Raplamaa	Kohila alev, Kohila vald, Raplamaa, 79801	59.1729506	24.7471081
49415	49420	11087	true	70008747	Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 139	POLITSEI- JA PIIRIVALVEAMET	Lääne prefektuuri Rapla politseijaoskonna patrullitalituse arestimaja	Toitlustamine	Raplamaa	Savi 2, Rapla linn, Rapla vald, Raplamaa, 79514	58.9946402	24.8261602
64882	64887	11088	true	10359831	Rapla maakond, Rapla vald, Rapla linn, Hariduse tn 3	RAPLA TARBIJATE ÜHISTU	Kohila Konsum	Jaemüük	Raplamaa	Lõuna 2, Kohila alev, Kohila vald, Raplamaa, 79805	59.1672583	24.7497005
75923	75925	11094	true	11636959	Rapla maakond, Märjamaa vald, Märjamaa alev, Pargi tn 19-19	PIRET SAALISTE	Kauplus Karn	Jaemüük	Raplamaa	Pärnu mnt 87a, Märjamaa alev, Märjamaa vald, Raplamaa, 78304	58.90065	24.4216409
68885	68886	11095	true	12018264	Rapla maakond, Rapla vald, Juuru alevik, Staadioni tn 13-8	KAISA SÖÖGITUBA OÜ	Sadolini söökla	Toitlustamine	Raplamaa	Kastani 7, Rapla, Rapla vald, Raplamaa, 79514	58.9939902	24.7989086
71433	71455	11097	true	10054238	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA	Grossi Toidukaubad Kohila	Jaemüük	Raplamaa	Viljandi mnt 3a, Kohila alev, Kohila vald, Raplamaa, 79804	59.1673633	24.7604175
117204	50613	11102	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Valjala Põhikooli söökla	Toitlustamine	Saaremaa	Kooli tee 3, Valjala alevik, Saaremaa vald, Saare maakond, 94302	58.408314	22.7939719
117204	50612	11103	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Valjala Lasteaia köök	Toitlustamine	Saaremaa	Valjala alevik, Saaremaa vald, Saare maakond, 94302	58.4097322	22.7906801
74242	74249	11105	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Kärla kauplus	Jaemüük	Saaremaa	Pargi 1, Kärla alevik, Saaremaa vald, Saaremaa, 93501	58.3302569	22.2573484
74242	74243	11106	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Valjala kauplus	Jaemüük	Saaremaa	Posti tn 27, Valjala alevik, Saaremaa vald, Saare maakond, 94302	58.4094569	22.7910327
68168	78557	11110	true	11693733	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 15	OÜ SPA TOURS	Restoran Rose ja SPA baar	Toitlustamine	Saaremaa	Tallinna tn 15, Saaremaa vald, Kuressaare linn, Saare maakond, 93811	58.2540042	22.4876797
64756	64757	11111	true	10336575	Saare maakond, Saaremaa vald, Kuressaare linn, Lossi tn 9	OSAÜHING CLASSIC KOHVIK	Kuressaare Linnahotell	Toitlustamine	Saaremaa	LasteAia tn 7, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2516268	22.4826768
75144	75179	11112	true	10379733	Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 238	SELVER AS	Saare Selver	Jaemüük	Saaremaa	Tallinna tn 67, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2633322	22.5080558
63437	63438	11115	true	10033638	Saare maakond, Muhu vald, Mõisaküla	LUMISTE TALU	Lumiste Talupood	Jaemüük	Saaremaa	Lumiste, Mõisaküla, Muhu vald, Saaremaa, 94751	58.6638554	23.1573567
65582	65583	11119	true	10625758	Saare maakond, Saaremaa vald, Kuressaare linn, Torni tn 12	OSAÜHING AARA	Arabella restoran	Toitlustamine	Saaremaa	Torni 12, Saaremaa vald, Kuressaare linn, Saare maakond, 93812	58.256863	22.4856042
117204	50668	11121	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Kihelkonna Kooli söökla	Toitlustamine	Saaremaa	Kooli 1, Kihelkonna alevik, Saaremaa vald, Saare maakond, 93401	58.3621412	22.0290862
74242	74248	11122	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Roomassaare kauplus	Jaemüük	Saaremaa	Uus-Roomassaare 21, Saaremaa vald, Kuressaare linn, Saare maakond, 93816	58.2444121	22.4891657
117204	50566	11123	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Leisi Keskkooli söökla	Toitlustamine	Saaremaa	Kooli 4, Leisi alevik, Saaremaa vald, Saare maakond, 94202	58.5671241	22.6846238
117204	50565	11124	true	77000306	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10	SAAREMAA VALLAVALITSUS	Pärsama Lasteaia köök	Toitlustamine	Saaremaa	Katlamaja, Pärsama küla, Saaremaa vald, Saaremaa, 94201	58.505549	22.7461161
65069	65070	11125	true	10415156	Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 3	OSAÜHING NIMETU KURESSAARE	Pub Vaekoda	Toitlustamine	Saaremaa	Tallinna tn 3, Saaremaa vald, Kuressaare linn, Saare maakond, 93819	58.2533529	22.4848984
71901	71953	11127	true	10765896	Harju maakond, Tallinn, Mustamäe linnaosa, Aiandi tn 13/2	MAXIMA EESTI OÜ	MAXIMA XX	Jaemüük	Saaremaa	Tallinna tn 64, Saaremaa vald, Kuressaare linn, Saare maakond, 93818	58.2605156	22.5051345
67939	67940	11131	true	11620711	Saare maakond, Saaremaa vald, Kuressaare linn, Kihelkonna mnt 8a	NOVABETA OÜ	Suure Töllu Puhkeküla	Toitlustamine	Saaremaa	Lilbi küla, Saaremaa vald, Saare maakond, 93853	58.2865928	22.562844
72961	72962	11133	true	10414568	Pärnu maakond, Pärnu linn, Pärnu linn, Lao tn 17	OSAÜHING ROVERTO	Saaremaa ladu	Hulgimüük	Saaremaa	Pikk tn 64, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.269527	22.4873766
66626	66630	11135	true	11041930	Saare maakond, Saaremaa vald, Karja küla, Sinilille	OSAÜHING FORSENT GRUPP	Leisi kauplus	Jaemüük	Saaremaa	Orissaare mnt 2, Leisi alevik, Saaremaa vald, Saare maakond, 94202	58.5719289	22.6850649
74242	74247	11136	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Pärsama	Jaemüük	Saaremaa	Pärsama küla, Saaremaa vald, Saaremaa, 94201	58.505549	22.7461161
75878	75879	1114	true	10498917	Pärnu maakond, Põhja-Pärnumaa vald, Pärnu-Jaagupi alev, Ülase tn 9-4	AKTSIASELTS BALTIC PACK EST	Baltic Pack Est	Toiduga kokkupuutumiseks ettenähtud materjalide ja esemete hulgimüük	Pärnumaa	Lao 8, Pärnu linn, Pärnu linn, Pärnu maakond, 80010	58.3731796	24.5460705
