 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF101816	La Lorraine Oostende	Ijslandstraat  7 	8400 Oostende	CS				Ijslandstraat  7  ,8400 Oostende	Ijslandstraat  7  , 8400 Oostende , Belgium	51,2092004	2,9725479
0	Etablissements activité générale	KF101834	Vanpoucke-Vanhee, Mario	Heidenstraat(B)  5 	8600 Diksmuide	CS				Heidenstraat(B)  5  ,8600 Diksmuide	Heidenstraat  5  , 8600 Diksmuide , Belgium	51,0601215	2,8861113
0	Etablissements activité générale	KF101854	LAMBRECHTS NV	Luikersteenweg  214 	3700 Tongeren	CS				Luikersteenweg  214  ,3700 Tongeren	Luikersteenweg  214  , 3700 Tongeren , Belgium	50,7654299	5,4726497
0	Etablissements activité générale	KF101888	 SCHIETSE	Brusselstraat  125 	1702 Dilbeek	CS	RW			Brusselstraat  125  ,1702 Dilbeek	Brusselstraat  125  , 1702 Dilbeek , Belgium	50,8686976	4,2710584
0	Etablissements activité générale	KF101888	 SCHIETSE	Brusselstraat  125 	1702 Dilbeek	RW	CS			Brusselstraat  125  ,1702 Dilbeek	Brusselstraat  125  , 1702 Dilbeek , Belgium	50,8686976	4,2710584
0	Etablissements activité générale	KF101951	Huis Seghers-Soetens	Quai aux Briques  48 	1000 Bruxelles	CS	FFPP			Quai aux Briques  48  ,1000 Bruxelles	Quai aux Briques  48  , 1000 Bruxelles , Belgium	50,8522088	4,3473274
0	Etablissements activité générale	KF102	Stapelplaats Dassenveld / Dats 24	Zinkstraat  1 	1500 Halle	CS	CC, PP, CP, FFPP, MP, PP			Zinkstraat  1  ,1500 Halle	Zinkstraat  1  , 1500 Halle , Belgium	50,7269987	4,2158853
0	Etablissements activité générale	KF102054	Greenyard Logistics Belgium	Drevendaal  3 	2860 Sint-Katelijne-Waver	CS				Drevendaal  3  ,2860 Sint-Katelijne-Waver	Drevendaal  3  , 2860 Sint-Katelijne-Waver , Belgium	51,0628245	4,5158484
0	Etablissements activité générale	KF1021	PLUIMVEESLACHTERIJ DECLERCK	Ingelmunstersteenweg  142 	8780 Oostrozebeke	CS	CP, RW, SH			Ingelmunstersteenweg  142  ,8780 Oostrozebeke	Ingelmunstersteenweg  142  , 8780 Oostrozebeke , Belgium	50,9177724	3,3076847
0	Etablissements activité générale	KF1021	PLUIMVEESLACHTERIJ DECLERCK	Ingelmunstersteenweg  142 	8780 Oostrozebeke	RW	CP, CS, SH			Ingelmunstersteenweg  142  ,8780 Oostrozebeke	Ingelmunstersteenweg  142  , 8780 Oostrozebeke , Belgium	50,9177724	3,3076847
0	Etablissements activité générale	KF102101	BEXPO	Gieterijstraat  16 	1502 Halle	CS				Gieterijstraat  16  ,1502 Halle	Gieterijstraat  16  , 1502 Halle , Belgium	50,710969	4,2212966
0	Etablissements activité générale	KF102128	Ets Allaert S.A.	Rue du Compas  63 	1070 Anderlecht	CS	CP, MM			Rue du Compas  63  ,1070 Anderlecht	Rue du Compas  63  , 1070 Anderlecht , Belgium	50,8441268	4,3295749
0	Etablissements activité générale	KF102216	MAXI-FOOD BELGIUM	Avenue Odon Warland  63 	1090 Jette	CS	FFPP			Avenue Odon Warland  63  ,1090 Jette	Avenue Odon Warland  63  , 1090 Jette , Belgium	50,8697979	4,3309791
0	Etablissements activité générale	KF102217	VDS FOOD	Avenue Van Volxem  461 b 1	1190 Forest	CS	CP, FFPP			Avenue Van Volxem  461 b 1 ,1190 Forest	Avenue Van Volxem  461 b 1 , 1190 Forest , Belgium	50,8280782	4,3286412
0	Etablissements activité générale	KF102225	Metro Evergem	Noorwegenstraat  39 	9940 Ertvelde	CS	FFPP			Noorwegenstraat  39  ,9940 Ertvelde	Noorwegenstraat  39  , 9940 Ertvelde , Belgium	51,1370452	3,7446239
0	Etablissements activité générale	KF102259	DEVLIEGER FILIP BVBA	't Walletje  69 	8300 Knokke-Heist	CS	FFPP			't Walletje  69  ,8300 Knokke-Heist	 t Walletje  69  , 8300 Knokke-Heist , Belgium	51,3204193	3,2898982
0	Etablissements activité générale	KF102265	Halal Food	Oudebaan  110 	2610 Wilrijk	CS				Oudebaan  110  ,2610 Wilrijk	Oudebaan  110  , 2610 Wilrijk , Belgium	51,15889	4,3805042
0	Etablissements activité générale	KF102330	Horecamarkt Brugge	Jacob van Arteveldestraat  5 	8000 Brugge	RW				Jacob van Arteveldestraat  5  ,8000 Brugge	Jacob van Arteveldestraat  5  , 8000 Brugge , Belgium	51,2253763	3,2197804
0	Etablissements activité générale	KF102340	Pesca Viva	Rue de la Princesse  1 	1080 Molenbeek-Saint-Jean	CS	FFPP			Rue de la Princesse  1  ,1080 Molenbeek-Saint-Jean	Rue de la Princesse  1  , 1080 Molenbeek-Saint-Jean , Belgium	50,848794	4,3307867
0	Etablissements activité générale	KF102348	Solylez	Drève André Dujardin(L)  1 b C27/28/29	7700 Mouscron/Moeskroen	CS	CP, SH			Drève André Dujardin(L)  1 b C27/28/29 ,7700 Mouscron/Moeskroen	Drève André Dujardin  1 b C27/28/29 , 7700 Mouscron/Moeskroen , Belgium	50,7390472	3,2538445
0	Etablissements activité générale	KF102421	Van Den Berge Quality Services 	Chaussée de Jette  610 	1090 Jette	CS	CP			Chaussée de Jette  610  ,1090 Jette	Chaussée de Jette  610  , 1090 Jette , Belgium	50,8726395	4,3254893
0	Etablissements activité générale	KF102434	PESCE	Chaussée de Nivelles  89 b Z	7170 Manage	CS	PP			Chaussée de Nivelles  89 b Z ,7170 Manage	Chaussée de Nivelles  89 b Z , 7170 Manage , Belgium	50,5094	4,241334
0	Etablissements activité générale	KF102497	METRO Sint-Katelijne-Waver	Mechelsesteenweg(CEN)  84 	2860 Sint-Katelijne-Waver	CS	FFPP			Mechelsesteenweg(CEN)  84  ,2860 Sint-Katelijne-Waver	Mechelsesteenweg  84  , 2860 Sint-Katelijne-Waver , Belgium	51,0611504	4,5263467
0	Etablissements activité générale	KF102499	MARMO VLEESGROOTHANDEL	Reppelsebaan  65 	3294 Molenstede	CS	CP, MP, PP, RW			Reppelsebaan  65  ,3294 Molenstede	Reppelsebaan  65  , 3294 Molenstede , Belgium	51,0111066	5,0095913
0	Etablissements activité générale	KF102499	MARMO VLEESGROOTHANDEL	Reppelsebaan  65 	3294 Molenstede	RW	CP, CS, MP, PP			Reppelsebaan  65  ,3294 Molenstede	Reppelsebaan  65  , 3294 Molenstede , Belgium	51,0111066	5,0095913
0	Etablissements activité générale	KF1025	WILD VERMEERSCH	Ambachtstraat  16 	8820 Torhout	CS	CP, RW			Ambachtstraat  16  ,8820 Torhout	Ambachtstraat  16  , 8820 Torhout , Belgium	51,0780252	3,1079455
0	Etablissements activité générale	KF1025	WILD VERMEERSCH	Ambachtstraat  16 	8820 Torhout	RW	CP, CS			Ambachtstraat  16  ,8820 Torhout	Ambachtstraat  16  , 8820 Torhout , Belgium	51,0780252	3,1079455
0	Etablissements activité générale	KF102500	D & B Discount - De Gaverbeek	Molenstraat  88 	9890 Gavere	CS				Molenstraat  88  ,9890 Gavere	Molenstraat  88  , 9890 Gavere , Belgium	50,9249697	3,6722891
0	Etablissements activité générale	KF102554	KASMIFOOD	Energielaan  6 	2950 Kapellen (Antw.)	CS	MP, PP			Energielaan  6  ,2950 Kapellen (Antw.)	Energielaan  6  , 2950 Kapellen  , Belgium	51,3563448	4,5026138
0	Etablissements activité générale	KF102655	SPRL PIERRARD	Rue d'Arlon  90 b C	6760 Virton	CS	CP, MP, PP			Rue d'Arlon  90 b C ,6760 Virton	Rue d Arlon  90 b C , 6760 Virton , Belgium	49,5710802	5,5421432
0	Etablissements activité générale	KF102741	FRANKY	G. Demeurslaan  106 	1654 Beersel	CS				G. Demeurslaan  106  ,1654 Beersel	G. Demeurslaan  106  , 1654 Beersel , Belgium	50,7582957	4,2665906
