Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 68762677;47,5469611;8,963293;68762677;68762677;Ruedi Weber;Dorfstrasse13;Ruedi Weber, Dorfstrasse13, 8512, Switzerland ;8512;8512 TG;SH;SH(II), SH(III);B, C, O, P;
CH 45070373;47,2123945;8,5633948;45070373;45070373;Schlachtanlage Walterswil;Ruessenstrasse 5b;Schlachtanlage Walterswil, Ruessenstrasse 5b, 6340, Switzerland ;6340;6340 ZG;SH;SH(III);B, C, O, P, S;
CH 53588280;;;53588280;53588280;Sturzenegger Kurt;Lommiserstrasse2;Sturzenegger Kurt, Lommiserstrasse2, 9545, Switzerland ;9545;9545 TG;SH;SH(II);B, O, P;
CH 41402754;;;41402754;41402754;Schlachtanlage Schmid;Bernstrasse92;Schlachtanlage Schmid, Bernstrasse92, 3206, Switzerland ;3206;3206 BE;SH;;B, C, O, P;
CH 42137746;;;42137746;42137746;Küpfer Peter;Oberdorf;Küpfer Peter, Oberdorf, 6166, Switzerland ;6166;6166 LU;SH, CP;PP(VI);B, C, O, P;
CH 70658243;;;70658243;70658243;Schlachtanlage Marolf;;;3272;3272 BE;SH;;B, C, O;
CH TI-40099936;46,177501;8,6995793;TI-40099936;40099936;Macelleria Fratelli Freddi;Via Cantonale;Macelleria Fratelli Freddi, Via Cantonale, 6655, Switzerland ;6655;6655 TI;SH;;B, C, O, S;
CH 41065048;47,441459;8,201517;41065048;41065048;H.R. Kyburz Vieh + Fleisch AG;Dorfstrasse32;H.R. Kyburz Vieh + Fleisch AG, Dorfstrasse32, 5242, Switzerland ;5242;5242 AG;SH, CP;SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI);B, C, O, P, S;
CH  70147732;;; 70147732;70147732;Abattoir Bagnes;Place Centrale;Abattoir Bagnes, Place Centrale, 1934, Switzerland ;1934;1934 VS;SH;;B, C, O, P, S;
CH 40704317;46,9994835;6,7324305;40704317;40704317;Montandon SA, Boucherie-Charcuterie;Grand-Rue 13;Montandon SA, Boucherie-Charcuterie, Grand-Rue 13, 2316, Switzerland ;2316;2316 NE;CP;CS(0), RW(0), MP(V), PP(VI);B, P;
CH 41980408;46,8672774;7,1233067;41980408;41980408;Metzgerei Lorétan AG;rte de Fribourg17;Metzgerei Lorétan AG, rte de Fribourg17, 1784, Switzerland ;1784;1784 FR;SH;SH(II), CP(IV), GHE(IV);B, C, O, P;
CH 67723624;;;67723624;67723624;Gen.Schlachthaus Sense Oberland;Zollhaus536;Gen.Schlachthaus Sense Oberland, Zollhaus536, 1716, Switzerland ;1716;1716 FR;SH, CP;SH(III), CP(III), MM(V), MP(V), PP(VI);B, C, O, P, S;
CH CH41344631;47,3389263;7,2462676;CH41344631;41344631;Kottelat Marcel;Simon-Feunat3;Kottelat Marcel, Simon-Feunat3, 2854, Switzerland ;2854;2854 JU;SH;SH(II);B, C, O, P, S;
CH 70149279;;;70149279;70149279;Gemeinde Hittnau Schlachtlokal;Werkhof, Jakob-Stutz-Strasse48;Gemeinde Hittnau Schlachtlokal, Werkhof, Jakob-Stutz-Strasse48, 8335, Switzerland ;8335;8335 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 69234685;;;69234685;65842967;Schlachtanlage Diemtigen & Umg.;Wilerweg23;Schlachtanlage Diemtigen & Umg., Wilerweg23, 3754, Switzerland ;3754;3754 BE;SH;;B, C, O, P, S;
CH 42144811;;;42144811;42144811;Schlachtanlage Nussbaum;Sägegasse27;Schlachtanlage Nussbaum, Sägegasse27, 3110, Switzerland ;3110;3110 BE;SH;;B, C, O, P;
CH 67691538;47,1684141;9,4715084;67691538;67691538;Lippuner Stüdtlimetzg AG;Wiedenstrasse19;Lippuner Stüdtlimetzg AG, Wiedenstrasse19, 9470, Switzerland ;9470;9470 SG;SH;;B, C, O, P, S;
CH 63617654;;;63617654;63617654;Macello Giovanoli;Strada principale123;Macello Giovanoli, Strada principale123, 7605, Switzerland ;7605;7605 GR;SH;;B, C, O, P;
CH 41460159;;;41460159;71469252;Schlachtanlage Liechti;;;3538;3538 BE;SH;SH(II), SH(III);B, C, O, P, S;
CH 42136318;47,4252289;9,6116651;42136318;42136318;Metzgerei Küttel AG;Neugass14;Metzgerei Küttel AG, Neugass14, 9442, Switzerland ;9442;9442 SG;SH;;B, C, O, P, S;
CH CH41430573;47,4029784;7,1274422;CH41430573;41430573;Boucherie Neuenschwander;Route de Courtemblin8;Boucherie Neuenschwander, Route de Courtemblin8, 2950, Switzerland ;2950;2950 JU;SH;;B, C, O, P;
CH 41665057;47,0886546;8,1131626;41665057;41665057;Rottal Metzg AG ;Rüediswilerstrasse84;Rottal Metzg AG , Rüediswilerstrasse84, 6017, Switzerland ;6017;6017 LU;SH, CP;;B, C, O, P;
CH 41504036;;;41504036;41504036;Metzgerei Schlüchter AG;;;3465;3465 BE;SH;;B, C, O, P;
CH TI-40060855;;;TI-40060855;40060855;Gazzoli Francesco;Via Retica8;Gazzoli Francesco, Via Retica8, 6532, Switzerland ;6532;6532 TI;SH;;C, O;
CH 41365123;;;41365123;80555633;Schlachtanlage Hofer Hofer Beat;Oberdorfstrasse12;Schlachtanlage Hofer Hofer Beat, Oberdorfstrasse12, 3322, Switzerland ;3322;3322 BE;SH;;B, C, O, P;
CH 63284295;;;63284295;63284295;Schlachtlokal Pally;;;7184;7184 GR;SH;GHE(IV);B, C, O;
CH 41034411;47,1902054;8,3958093;41034411;41034411;Kronenberg Urs;Luzernerstrasse7;Kronenberg Urs, Luzernerstrasse7, 5643, Switzerland ;5643;5643 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 299;46,9448396;7,4283087;299;52164279;Meinen AG Grossmetzgerei & -Wursterei;Schwarztorstrasse76;Meinen AG Grossmetzgerei & -Wursterei, Schwarztorstrasse76, 3007, Switzerland ;3007;3007 BE;CP;RW(0), WM(0), CP(III), MP(V), PP(VI);B, C, O, P, S;
CH 70603202;;;70603202;70603202;Schlachtlokal Ruof;Mühleweg;Schlachtlokal Ruof, Mühleweg, 7307, Switzerland ;7307;7307 GR;SH;SH(II), GHE(IV);B, C, O, P;
CH 65414232;;;65414232;65414232;Abattoirs de Moutier & env. SA;;;2740;2740 BE;SH;;B, C, O, P, S;
CH 54518337;;;54518337;54518337;Wattinger Erich;Hauptstrasse26;Wattinger Erich, Hauptstrasse26, 8594, Switzerland ;8594;8594 TG;SH;SH(II), SH(III);B, C, O, P;
CH 41469759;;;41469759;41469759;Schlachtanlage Metzgerei AG Beat Bieri;Neubau;Schlachtanlage Metzgerei AG Beat Bieri, Neubau, 6197, Switzerland ;6197;6197 BE;SH;;B, C, O, P, S;
CH 70147989;;;70147989;70147989;Urich Fleisch und Feines GmbH;Stägmatt3;Urich Fleisch und Feines GmbH, Stägmatt3, 4314, Switzerland ;4314;4314 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 70448701;;;70448701;70448701;Tassone Giuseppe;Restaurant Ochsen;Tassone Giuseppe, Restaurant Ochsen, 9502, Switzerland ;9502;9502 TG;SH;SH(II), SH(III);B, C, O, P, S;
CH 70218257;;;70218257;70218257;Verein Regionalschlachthaus ;Riedmühlestrasse2;Verein Regionalschlachthaus , Riedmühlestrasse2, 8474, Switzerland ;8474;8474 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 65350977;;;65350977;65350977;Schlachthaus Bödemli AG;Turbachstrasse59;Schlachthaus Bödemli AG, Turbachstrasse59, 3780, Switzerland ;3780;3780 BE;SH;SH(II), SH(III);B, C, O, P, S;
CH 70148867;;;70148867;70148867;Schlachtanlage Schenk;;;3283;3283 BE;SH;;B, O, P;
CH CH41428731;;;CH41428731;41428731;Fleury Daniel;Rte Principale37;Fleury Daniel, Rte Principale37, 2923, Switzerland ;2923;2923 JU;SH;SH(II);B, C, O, P;
CH 70215481;;;70215481;70215481;Notschlachtlokal Bauma;Heinrich Gujerstrasse31;Notschlachtlokal Bauma, Heinrich Gujerstrasse31, 8494, Switzerland ;8494;8494 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 70148872;;;70148872;70148872;Schlachtanlage Raft Metzg-Hüsi;Dorf;Schlachtanlage Raft Metzg-Hüsi, Dorf, 3655, Switzerland ;3655;3655 BE;SH;;B, C, O, P, S;
CH 62017963;;;62017963;62017963;TD Tierspital Bern;Länggassstr. 122 A;TD Tierspital Bern, Länggassstr. 122 A, 3012, Switzerland ;3012;3012 BE;SH;;B, C, O, P, S;
CH CH 45796346;46,5756376;6,4400119;CH 45796346;45796346;Boucherie de Severy Sa;Rte De Cottens;Boucherie de Severy Sa, Rte De Cottens, 1141, Switzerland ;1141;1141 VD;SH, CP;;B, C, O, P, S;
CH 51110790;;;51110790;51110790;Abattoir Michel Sunier;Lordel;Abattoir Michel Sunier, Lordel, 2073, Switzerland ;2073;2073 NE;SH;SH(II);O;
CH 70149242;;;70149242;70149242;Viehhalterverein Uetikon;Chlidorfstrasse;Viehhalterverein Uetikon, Chlidorfstrasse, 8707, Switzerland ;8707;8707 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 41962786;46,8649287;7,3133718;41962786;41962786;Metzgerei Lehmann AG;Dorfstrasse24;Metzgerei Lehmann AG, Dorfstrasse24, 3182, Switzerland ;3182;3182 FR;SH;SH(II), SH(III), CP(IV), GHE(IV);B, C, O, P, S;
CH 70660703;;;70660703;70660703;Schlachtanlage Landi Leuzigen;Hintere Gasse13 A;Schlachtanlage Landi Leuzigen, Hintere Gasse13 A, 3297, Switzerland ;3297;3297 BE;SH;;B, C, O, P;
CH 50358303;47,0835196;7,9561243;50358303;50358303;Wiprächtiger AG ;Dorfstrasse 40;Wiprächtiger AG , Dorfstrasse 40, 6133, Switzerland ;6133;6133 LU;SH, CP;;B, C, O, P, S;
CH 41685362;;;41685362;41685362;Vonwyl Fleisch GmbH ;Albiswilerstrasse7;Vonwyl Fleisch GmbH , Albiswilerstrasse7, 6218, Switzerland ;6218;6218 LU;SH, CP;PP(VI);B, C, O, P;
CH 41742738;47,0717937;9,4795231;41742738;41742738;Frischknecht Fritz;Hauptstrasse72;Frischknecht Fritz, Hauptstrasse72, 9477, Switzerland ;9477;9477 SG;SH;;B, C, O, P, S;
CH CH70147711;;;CH70147711;70147711;Schindler Walter;Pré-Borbet-Dessous;Schindler Walter, Pré-Borbet-Dessous, 2854, Switzerland ;2854;2854 JU;SH;;B, C, O, P, S;
CH TI-70678543;;;TI-70678543;70678543;Mattioli Donato;Ex Cantonale Lavorgo37 A;Mattioli Donato, Ex Cantonale Lavorgo37 A, 6746, Switzerland ;6746;6746 TI;SH;;B, C, O, P, S;
CH 62339403;47,2249706;6,9578259;62339403;62339403;Sauser Francis & Daniella;Rue du 23-Juin2;Sauser Francis & Daniella, Rue du 23-Juin2, 2340, Switzerland ;2340;2340 JU;SH;;B, C, O, P, S;
CH CH 75365146;;;CH 75365146;75365146;Coopérative d'exploitation de l'abattoir régional de Rolle et environs;Creux-du-Mas;Coopérative d'exploitation de l'abattoir régional de Rolle et environs, Creux-du-Mas, 1180, Switzerland ;1180;1180 VD;SH, CP;;B, C, O, P, S;
CH 70602570;;;70602570;70602570;Schlachtlokal Dütschler;Dorfstrasse28;Schlachtlokal Dütschler, Dorfstrasse28, 7405, Switzerland ;7405;7405 GR;SH;SH(III), GHE(IV);B, C, O, P;
CH 70149127;;;70149127;70149127;Gemeinde Glattfelden Schlachtlokal;Gottfried Kellerstrasse19;Gemeinde Glattfelden Schlachtlokal, Gottfried Kellerstrasse19, 8192, Switzerland ;8192;8192 ZH;SH;SH(II), SH(III);B, C, O, P, S;
CH 70445365;46,1817822;6,1346846;70445365;78376194;Suter Viandes SA;Rue Blavignac5;Suter Viandes SA, Rue Blavignac5, 1227, Switzerland ;1227;1227 GE;CP;CP(II), MM(V), MP(V);B, C, O, P, S;
CH 70660483;;;70660483;70660483;Boucherie Sauser;Place du Village63;Boucherie Sauser, Place du Village63, 2518, Switzerland ;2518;2518 BE;SH;;B, C, O, P;
CH 41512257;47,1297915;8,2584924;41512257;41512257;Kümin Feinkost GmbH;Chilestrasse4;Kümin Feinkost GmbH, Chilestrasse4, 6026, Switzerland ;6026;6026 LU;SH;;B, C, O, P, S;
CH 70218372;;;70218372;70218372;Schlachtanlage Schwellenkorpo.- Aareboden;;;3855;3855 BE;SH;;B, C, O, P;
CH 41534287;;;41534287;41534287;Schlachtanlage Stampfli;Aeschistrasse14;Schlachtanlage Stampfli, Aeschistrasse14, 3362, Switzerland ;3362;3362 BE;SH;;B, C, O, P;
CH 66177792;47,2903642;8,0890678;66177792;79348743;Prime Buffalo AG;Burgstrasse370;Prime Buffalo AG, Burgstrasse370, 5044, Switzerland ;5044;5044 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 52208224;47,1949107;8,1036089;52208224;52208224;Ernst Sutter AG Viaca;Schaubernstrasse2;Ernst Sutter AG Viaca, Schaubernstrasse2, 6232, Switzerland ;6232;6232 LU;CP;CP(II), MP(V), PP(VI);B, P, S;
CH TI-80623068;46,177501;8,6995793;TI-80623068;80623068;Macelleria Salumeria Fratelli Freddi;via Cantonale;Macelleria Salumeria Fratelli Freddi, via Cantonale, 6655, Switzerland ;6655;6655 TI;SH;;B, C, O, S;
CH CH-70678501;;;CH-70678501;70678501;Gino Urietti;Scona;Gino Urietti, Scona, 6718, Switzerland ;6718;6718 TI;SH;;B, C, O, P, S;
CH 70148191;46,8481201;9,5310014;70148191;70148191;Schlachtlokal Furna ;Hinder der Chilche22b;Schlachtlokal Furna , Hinder der Chilche22b, 7232, Switzerland ;7232;7232 GR;SH;SH(III), GHE(IV);B, C, O, P, S;
CH 70431645;47,4942292;7,9221159;70431645;70431645;Gemeinde Wegenstetten;Bachstrasse;Gemeinde Wegenstetten, Bachstrasse, 4317, Switzerland ;4317;4317 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 73006523;47,540571;8,819965;73006523;73006523;Metzgerei Würmli AG;Juchstrasse29;Metzgerei Würmli AG, Juchstrasse29, 8500, Switzerland ;8500;8500 TG;CP;RW(0), MP(V);B, O, P;
CH 46561345;;;46561345;46561345;Heinz Kummer Metzgerei Löwen;Dorfstrasse90;Heinz Kummer Metzgerei Löwen, Dorfstrasse90, 8912, Switzerland ;8912;8912 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 40877726;47,3347451;8,0544403;40877726;40877726;Berchtold Fleisch AG Berchtold Bruno;Hauptstr.36;Berchtold Fleisch AG Berchtold Bruno, Hauptstr.36, 5037, Switzerland ;5037;5037 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 69578396;46,2165343;6,1469384;69578396;69578396;H Food SA;Rue Ferrier19;H Food SA, Rue Ferrier19, 1202, Switzerland ;1202;1202 GE;CP;CP(II);B, C, O;
CH 101;47,3851737;8,5047403;101;54050444;SBZ Schlachtbetrieb Zürich AG ;Herdernstrasse63;SBZ Schlachtbetrieb Zürich AG , Herdernstrasse63, 8004, Switzerland ;8004;8004 ZH;SH;PP(XIII);B, C, O, P, S;
CH 42654397;;;42654397;42654397;Odermatt Anton jun.;Meierskählen1;Odermatt Anton jun., Meierskählen1, 6370, Switzerland ;6370;6370 NW;SH, CP;PP(VI), PP(IX);C, O, P;
CH 42020640;;;42020640;42020640;Schlachtlokal Möhr ;Aeuli2;Schlachtlokal Möhr , Aeuli2, 7304, Switzerland ;7304;7304 GR;SH;SH(III), GHE(IV);B, C, O, P;
CH 70148008;;;70148008;70148008;Schlachthaus Thalheim  Schneider Stefan;Dorfplatz4;Schlachthaus Thalheim  Schneider Stefan, Dorfplatz4, 5112, Switzerland ;5112;5112 AG;SH;SH(II), SH(III);B, C, O, P, S;
CH 64226389;47,4519116;9,6361097;64226389;64226389;Metzgerei Kast GmbH;Bahnhofstrasse6;Metzgerei Kast GmbH, Bahnhofstrasse6, 9430, Switzerland ;9430;9430 SG;SH;;B, C, O, P, S;
CH 46429653;47,1828014;8,0059877;46429653;46429653;B. & C. Studer GmbH;Gewerbestrasse4;B. & C. Studer GmbH, Gewerbestrasse4, 6243, Switzerland ;6243;6243 LU;SH;;B, C, O, P, S;
CH 42871596;;;42871596;80499811;Schlachtanlage Rupp;Fuhren37;Schlachtanlage Rupp, Fuhren37, 3535, Switzerland ;3535;3535 BE;SH;;O, P;
CH 65907179;46,8539343;7,8997341;65907179;65907179;Dorfmetzg Escholzmatt / Marbach GmbH;Dorfstrasse 32;Dorfmetzg Escholzmatt / Marbach GmbH, Dorfstrasse 32, 6196, Switzerland ;6196;6196 LU;SH;;B, C, O, P, S;
CH 70148762;;;70148762;70148762;Schlachtanlage Grindelwald z.H. Ackerbaustelle;;;3818;3818 BE;SH;CP(II), SH(III);B, C, O, P;
CH 67677156;47,1937486;8,5243496;67677156;69555273;Käppeli & Rogenmoser Delikatessen AG;Marktgasse16;Käppeli & Rogenmoser Delikatessen AG, Marktgasse16, 6340, Switzerland ;6340;6340 ZG;CP;CP(II), CP(III), CP(IV), MM(V), MP(V), MSM(V), PP(VI);B, C, O, P, S;
CH 70149132;;;70149132;70149132;Schlachtlokal Oberembrach;Rebbergstrasse2;Schlachtlokal Oberembrach, Rebbergstrasse2, 8425, Switzerland ;8425;8425 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 40990085;47,3363025;8,0246249;40990085;40990085;Sandmeier Markus;Hauptstrasse27;Sandmeier Markus, Hauptstrasse27, 5742, Switzerland ;5742;5742 AG;SH, CP;SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI), PP(VIII), FFPP(VIII);B, C, O, P, S;
CH CH 53549344;;;CH 53549344;53549344;Erard Paul-Andre;Avenue Centrale45;Erard Paul-Andre, Avenue Centrale45, 1884, Switzerland ;1884;1884 VD;SH, CP;;B, C, O, P, S;
CH CH66312889;47,256266;6,9971717;CH66312889;66312889;Paratte Romain;Rue des Rangiers1;Paratte Romain, Rue des Rangiers1, 2350, Switzerland ;2350;2350 JU;SH;;B, C, O, P;
CH 61184033;;;61184033;61184033;Sennereigenossenschaft Girenbad;Höhenstrasse112;Sennereigenossenschaft Girenbad, Höhenstrasse112, 8340, Switzerland ;8340;8340 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 52609955;;;52609955;52609955;Agroscope;rte de la Tioleyre4;Agroscope, rte de la Tioleyre4, 1725, Switzerland ;1725;1725 FR;SH, CP;;B, C, O, P;
CH 52221864;46,8379747;8,1866501;52221864;52221864;Metzgerei von Moos AG;Melchaaweg2;Metzgerei von Moos AG, Melchaaweg2, 6074, Switzerland ;6074;6074 OW;SH;PP(VI);B, C, O, P;
CH TI-70678585;;;TI-70678585;70678585;Tognetti Mario e Angela;Via al Ticino;Tognetti Mario e Angela, Via al Ticino, 6592, Switzerland ;6592;6592 TI;SH;;B, C, O, P, S;
CH 70448460;;;70448460;70448460;Schlachthof Dürrbach;Gassenscheuer;Schlachthof Dürrbach, Gassenscheuer, 3099, Switzerland ;3099;3099 BE;SH;;B;
CH 42130557;;;42130557;42130557;Metzgerei Metzger AG;Schlachtanlage Erlen;Metzgerei Metzger AG, Schlachtanlage Erlen, 9655, Switzerland ;9655;9655 SG;SH;;B, C, O, P, S;
CH 70745959;;;70745959;70745959;Bannholz-Metzg;Weisstannenstrasse22;Bannholz-Metzg, Weisstannenstrasse22, 8887, Switzerland ;8887;8887 SG;SH;;B, C, O, P, S;
CH 53250065;47,1486114;8,2286785;53250065;53250065;Metzgerei Rüttimann AG ;Sandgütsch2;Metzgerei Rüttimann AG , Sandgütsch2, 6024, Switzerland ;6024;6024 LU;SH;;B, C, O, P, S;
CH TI-69523308;46,2915749;8,9975184;TI-69523308;69523308;Mati Macello Ticino SA;Via Indüstri;Mati Macello Ticino SA, Via Indüstri, 6705, Switzerland ;6705;6705 TI;SH;;B, C, O, P, S;
CH 43483452;;;43483452;43483452;Rudolf Wettstein;Rickenbach;Rudolf Wettstein, Rickenbach, 8636, Switzerland ;8636;8636 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 72036804;;;72036804;72036804;Notschlachthaus Oberbussnang;Spitzacker;Notschlachthaus Oberbussnang, Spitzacker, 9565, Switzerland ;9565;9565 TG;SH;SH(II), GHE(IV);B, C, O, P;
CH 70148940;;;70148940;50560270;Schlachtanlage Rest. Linde;;;3664;3664 BE;SH;;B, C, O, P;
CH 70218215;;;70218215;70218215;Gemeinde Freienstein-Teufen Schlachthaus;Oberteufenstrasse;Gemeinde Freienstein-Teufen Schlachthaus, Oberteufenstrasse, 8428, Switzerland ;8428;8428 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 66501258;;;66501258;66501258;Schlachtlokal Metzga Viamala;Pitgogna19a;Schlachtlokal Metzga Viamala, Pitgogna19a, 7440, Switzerland ;7440;7440 GR;SH;SH(III);B, C, O, P, S;
CH 46112820;;;46112820;80444220;Felix Kunz;Bernstrasse47;Felix Kunz, Bernstrasse47, 4852, Switzerland ;4852;4852 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 54596120;;;54596120;73387084;Bircher Eduard;Mühlmatt384;Bircher Eduard, Mühlmatt384, 5063, Switzerland ;5063;5063 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 310;47,5736847;7,5689627;310;51686817;Grauwiler Fleisch AG Werk 2;Schlachthofstrasse55;Grauwiler Fleisch AG Werk 2, Schlachthofstrasse55, 4056, Switzerland ;4056;4056 BS;CP;CS(0), RW(0), PP(VI), PP(VIII), PP(IX), PP(X);B, C, O, P;
CH 346;;;346;70080837;SBAG St. Gallen Schlachtbetrieb Bazenheid;Neue Industriestrasse44;SBAG St. Gallen Schlachtbetrieb Bazenheid, Neue Industriestrasse44, 9602, Switzerland ;9602;9602 SG;SH;;P;
CH 70148280;;;70148280;70148280;Notschlachtlokal Buus;Hemmikerstrasse 1;Notschlachtlokal Buus, Hemmikerstrasse 1, 4463, Switzerland ;4463;4463 BL;SH;;B, C, O, P;
CH 66108846;;;66108846;66108846;Schlachtanlage Schenk;;;3036;3036 BE;SH;;B, C, O, P, S;
CH 62474159;;;62474159;62474159;Störmetzgerei Spitz Thomas & Steiner Peter;Ausserdorfstrasse1;Störmetzgerei Spitz Thomas & Steiner Peter, Ausserdorfstrasse1, 7312, Switzerland ;7312;7312 SG;SH;;B, C, O, P, S;
CH 41707906;47,2274928;8,9755775;41707906;41707906;Metzgerei Jud AG;Zürcherstrasse53;Metzgerei Jud AG, Zürcherstrasse53, 8730, Switzerland ;8730;8730 SG;SH;;B, C, O, P, S;
CH 61673441;47,3284273;9,3463969;61673441;61673441;Spezialitäten Metzg Wetter, Markus Wetter;Dorfstrasse44;Spezialitäten Metzg Wetter, Markus Wetter, Dorfstrasse44, 9108, Switzerland ;9108;9108 AI;CP;CP(II), CP(III), CP(IV), PP(VI);B, C, O, P, S;
CH 61942466;;;61942466;61942466;Grün Stadt Zürich  Wildpark Langenberg;Albisstrasse4;Grün Stadt Zürich  Wildpark Langenberg, Albisstrasse4, 8135, Switzerland ;8135;8135 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 70603223;;;70603223;70603223;Schlachtlokal Nay;Via d'Industria17;Schlachtlokal Nay, Via d'Industria17, 7166, Switzerland ;7166;7166 GR;SH;SH(III), GHE(IV);B, C, O, P, S;
CH 70148605;;;70148605;70148605;Stachel Josef jun.;Firststrasse7;Stachel Josef jun., Firststrasse7, 8835, Switzerland ;8835;8835 SZ;SH;;B, C, O, P;
CH 51973888;46,725361;9,558221;51973888;51973888;Schlachtlokal Metzgerei Spiess GmbH;Voa Principala34;Schlachtlokal Metzgerei Spiess GmbH, Voa Principala34, 7078, Switzerland ;7078;7078 GR;SH;SH(II);B, C, O, P;
CH 46792285;47,3446636;8,2451437;46792285;46792285;Martin Meier;Löwenplatz10;Martin Meier, Löwenplatz10, 5612, Switzerland ;5612;5612 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 80442244;47,5375325;8,2900246;80442244;80442244;Metzgerei Werder  Werder Thomas;Marktgasse17;Metzgerei Werder  Werder Thomas, Marktgasse17, 5304, Switzerland ;5304;5304 AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 41168423;;;41168423;41168423;Schlachtanlage Niklaus;;;4917;4917 BE;SH;;B, C, O, P;
CH 74136186;47,1079114;8,0839554;74136186;74136186;Metzgerei Zemp ;Gewerbering9;Metzgerei Zemp , Gewerbering9, 6018, Switzerland ;6018;6018 LU;SH;;B, C, O, P;
CH 50172413;47,5107037;9,379751;50172413;50172413;Raschle Hans;Baumannshaus;Raschle Hans, Baumannshaus, 9315, Switzerland ;9315;9315 TG;SH;SH(II);B, C, O, P;
CH 64842232;;;64842232;64842232;Schlachthaus Grava Luigino Maffei ;Gravas9;Schlachthaus Grava Luigino Maffei , Gravas9, 7452, Switzerland ;7452;7452 GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 70149499;;;70149499;70149499;Frey Karl;Hagenwil am Nollen (Schlachthaus);Frey Karl, Hagenwil am Nollen (Schlachthaus), 9514, Switzerland ;9514;9514 TG;SH;SH(II), SH(III);B, C, O, P;
CH 70148694;;;70148694;70148694;Schlachtanlage Ersigen;;;3423;3423 BE;SH;;B, C, O, P;
CH 70600311;;;70600311;70600311;Viehverwertung Fischenthal;Oberhof;Viehverwertung Fischenthal, Oberhof, 8497, Switzerland ;8497;8497 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
CH 70148097;;;70148097;70148097;Notschlachtlokal Mörschwil;Gemeindamt, Postfach;Notschlachtlokal Mörschwil, Gemeindamt, Postfach, 9402, Switzerland ;9402;9402 SG;SH;;B, C, O, P, S;
CH 41152690;;;41152690;41152690;Genossenschaft Migros Ostschweiz Zentralverwaltung;Industriestrasse47;Genossenschaft Migros Ostschweiz Zentralverwaltung, Industriestrasse47, 9200, Switzerland ;9200;9200 SG;CP;MM(V), MP(V), PP(VI);B, C, O, P, S;
CH 70148448;;;70148448;70148448;Schlachtanlage Büsserach;Industriestrasse11;Schlachtanlage Büsserach, Industriestrasse11, 4227, Switzerland ;4227;4227 SO;SH;SH(II), SH(III);B, C, O, P;
CH 42896061;;;42896061;80501617;Schlachtanlage Imobersteg;;;3205;3205 BE;SH;;O, P;
CH 70593738;;;70593738;70593738;Bärli Metzg AG;Schlachthaus;Bärli Metzg AG, Schlachthaus, 9410, Switzerland ;9410;9410 AR;SH;;B, C, O;
CH 66312784;;;66312784;66312784;Schlachtlokal Hatecke Samedan;Cho D'Punt52;Schlachtlokal Hatecke Samedan, Cho D'Punt52, 7503, Switzerland ;7503;7503 GR;SH;GHE(IV);B, C, O, P, S;
CH 70148778;;;70148778;70148778;Schlachtanlage VVK Viehversicherungskasse;Urbachseystrasse31a;Schlachtanlage VVK Viehversicherungskasse, Urbachseystrasse31a, 3860, Switzerland ;3860;3860 BE;SH;;B, C, O, P;
CH 41251804;;;41251804;41251804;B. & G. Brunner-Reif Dorfmetzgerei;Tösstalstrasse67;B. & G. Brunner-Reif Dorfmetzgerei, Tösstalstrasse67, 8488, Switzerland ;8488;8488 ZH;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S;
