Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 65407261;46,5138049;8,3246826;65407261;65407261;Sennereigenossenschaft Obergesteln;Furkastrasse34;Sennereigenossenschaft Obergesteln, Furkastrasse34, 3988, Switzerland ;3988;3988 VS;PP;;B;
CH 6184;;;6184;70750922;Bazine Fromagerie;Alpage;Bazine Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 5738;47,3000836;8,8656838;5738;66104050;Sennerei Bachtel;Sennhüttenstrasse13;Sennerei Bachtel, Sennhüttenstrasse13, 8342, Switzerland ;8342;8342 ZH;PP;;B;
CH 5414;47,481762;9,0771819;5414;42091510;OBERLI CHRISTIAN;Rislen;OBERLI CHRISTIAN, Rislen, 9512, Switzerland ;9512;9512 SG;PP;RW(0);B;
CH 4146;46,7358495;7,0558398;4146;45718395;Fromagerie Nicolet François;Route Saint-Jacques62;Fromagerie Nicolet François, Route Saint-Jacques62, 1726, Switzerland ;1726;1726 FR;PP;;B;
CH 4669;47,1498486;8,2291166;4669;75803675;Käserei Hildisrieden AG;Luzernerstrasse8;Käserei Hildisrieden AG, Luzernerstrasse8, 6024, Switzerland ;6024;6024 LU;PP;;B;
CH 5237;47,452775;8,9658647;5237;60191673;Peter Gantenbein;Riethof;Peter Gantenbein, Riethof, 8360, Switzerland ;8360;8360 TG;PP;;B;
CH 3262;;;3262;68085961;Thomas Fankhauser-Lüthi;Gersbergmatte184;Thomas Fankhauser-Lüthi, Gersbergmatte184, 4954, Switzerland ;4954;4954 BE;PP;;B, C, O;
CH 4350;;;4350;65459516;Bessard François;Rue du Levant1;Bessard François, Rue du Levant1, 1148, Switzerland ;1148;1148 VD;PP, CC;;B;
CH 4047;;;4047;69714879;Wohlhauser Eric;Eichholz8;Wohlhauser Eric, Eichholz8, 1735, Switzerland ;1735;1735 FR;PP;;B;
CH 70969645;;;70969645;70969645;Milchsammelstelle;Känelthal59;Milchsammelstelle, Känelthal59, 3531, Switzerland ;3531;3531 BE;CC;;B;
CH 70945293;;;70945293;70945293;Chäsi P. und E. Gisler;Bahnhofstrasse6;Chäsi P. und E. Gisler, Bahnhofstrasse6, 4663, Switzerland ;4663;4663 AG;CC;;B;
CH 3099;;;3099;41299921;Jakob Beer;Im Dorf3;Jakob Beer, Im Dorf3, 3298, Switzerland ;3298;3298 BE;PP;;B, C, O;
CH 74295152;46,958407;7,4944486;74295152;68906813;Spirit Market GmbH;Wegmühlegässli6;Spirit Market GmbH, Wegmühlegässli6, 3072, Switzerland ;3072;3072 BE;PP;RW(0), WM(0);B, C, O;
CH 4028;46,9232814;7,8389059;4028;78248671;Stefan & Martin Götschi;Dorfstrasse58;Stefan & Martin Götschi, Dorfstrasse58, 3555, Switzerland ;3555;3555 BE;PP;;B, C, O;
CH 84002955;;;84002955;84002955;Alpage de la Bovonne;Bovonne;Alpage de la Bovonne, Bovonne, 1880, Switzerland ;1880;1880 VD;PP;;B;
CH 4211;47,0011321;6,7373158;4211;40594321;Didier Germain;Major Benoit25;Didier Germain, Major Benoit25, 2316, Switzerland ;2316;2316 NE;CC;;B;
CH 4380;46,790805;6,5234519;4380;75478535;DELESSERT Christian;Rue de Famenan;DELESSERT Christian, Rue de Famenan, 1446, Switzerland ;1446;1446 VD;PP, CC;;B;
CH 5120;;;5120;42556821;Käserei Müller-Thurgau;Risershus 267;Käserei Müller-Thurgau, Risershus 267, 9313, Switzerland ;9313;9313 SG;PP;;B;
CH 3306;;;3306;72484959;La Cabriolle SA;Rue Saint-Jacques32;La Cabriolle SA, Rue Saint-Jacques32, 1666, Switzerland ;1666;1666 FR;PP, CC;RW(0);B, C;
CH 4026;47,392117;8,193242;4026;41441423;Hostettler & Co AG;Vorderfultigen;Hostettler & Co AG, Vorderfultigen, 3089, Switzerland ;3089;3089 BE;PP;;B, C, O;
CH 3203;46,8713256;7,800791;3203;64248838;Chäsi-Lade Eggiwil, Sandra Ziörjen + Franziska Kühni;Heidbühl470;Chäsi-Lade Eggiwil, Sandra Ziörjen + Franziska Kühni, Heidbühl470, 3537, Switzerland ;3537;3537 BE;PP;;B, C, O;
CH 2093;47,4108039;9,0381046;2093;41626634;Traber Käse AG;Seefeldstrasse10;Traber Käse AG, Seefeldstrasse10, 9533, Switzerland ;9533;9533 SG;PP;RW(0);B;
CH 61769547;;;61769547;61769547;Laiterie de Somlaproz;;;1937;1937 VS;PP;;B;
CH 4673;;;4673;61204166;Genossenschaft Regio Chäsi Willisau Käserei Schülen;Ennerhaus2;Genossenschaft Regio Chäsi Willisau Käserei Schülen, Ennerhaus2, 6130, Switzerland ;6130;6130 LU;PP;;B;
CH 8159;;;8159;30138961;Urs Meier-Christen;Hintere Längimoosstrasse2;Urs Meier-Christen, Hintere Längimoosstrasse2, 8803, Switzerland ;8803;8803 ZH;PP;;B;
CH 70946255;;;70946255;70946255;Milchsammelstelle Filzbach;Kerenzerbergstrasse28;Milchsammelstelle Filzbach, Kerenzerbergstrasse28, 8757, Switzerland ;8757;8757 GL;CC;;B;
CH 70930721;47,3833333;7,4666667;70930721;70930721;Milchsammelstelle;Bachstrasse298;Milchsammelstelle, Bachstrasse298, 4252, Switzerland ;4252;4252 SO;CC;;B;
CH 71060140;;;71060140;71060140;Milchsammelstelle;;;3996;3996 VS;CC;;B;
CH 3685;47,1139783;8,0927645;3685;70305365;Käserei Schmid AG;Dorf43;Käserei Schmid AG, Dorf43, 6018, Switzerland ;6018;6018 LU;PP;;B;
CH 6146;;;6146;60407935;Morier Alexis;Route De Flendruz 37;Morier Alexis, Route De Flendruz 37, 1659, Switzerland ;1659;1659 VD;PP;;B;
CH 5355;;;5355;42133170;Käserei Warthausen AG;Warthausen Dorf;Käserei Warthausen AG, Warthausen Dorf, 8718, Switzerland ;8718;8718 SG;PP;;B;
CH 6050;;;6050;70766901;Fromagerie d'alpage Vacheresse;;;1637;1637 FR;PP;;B;
CH 70946192;;;70946192;70946192;Milchsammelstelle Elm;Unterdorf;Milchsammelstelle Elm, Unterdorf, 8767, Switzerland ;8767;8767 GL;CC;;B;
CH 2423;;;2423;52031716;Cremo S.A. Usine de Lucens;Route de la Caséine9;Cremo S.A. Usine de Lucens, Route de la Caséine9, 1522, Switzerland ;1522;1522 VD;PP;RW(0), WM(0);B;
CH 7490;;;7490;70749230;Col de la Croix;Alpage;Col de la Croix, Alpage, 1867, Switzerland ;1867;1867 VD;PP;;B;
CH 3535;47,5475392;8,9667395;3535;75505031;Dorfkäserei Thundorf Ruedi Studerus;Käsereistrasse5;Dorfkäserei Thundorf Ruedi Studerus, Käsereistrasse5, 8512, Switzerland ;8512;8512 TG;PP;;B;
CH 4364;;;4364;64510532;Daniel Conod;;;1446;1446 VD;PP;;B;
CH 70965195;;;70965195;70965195;Milchsammelstelle;Lochiweg458;Milchsammelstelle, Lochiweg458, 3082, Switzerland ;3082;3082 BE;CC;;B;
CH 74415539;46,556825;7,3762092;74415539;74415539;Mountain Ice-Cream AG;Gewerbestrasse6;Mountain Ice-Cream AG, Gewerbestrasse6, 3770, Switzerland ;3770;3770 BE;PP, CC;;B;
CH 63543772;;;63543772;63543772;Milchproduzentengesellschaft Degen / Vattiz ;;;7146;7146 GR;CC;;B;
CH 63450463;;;63450463;63450463;Milchsammelstelle Sörenberg;Rothornstrasse20;Milchsammelstelle Sörenberg, Rothornstrasse20, 6174, Switzerland ;6174;6174 LU;CC;;B;
CH 5683;47,3336154;8,7261327;5683;65497459;Hofmolkerei Birkenhof GmbH;Wührestrasse101;Hofmolkerei Birkenhof GmbH, Wührestrasse101, 8610, Switzerland ;8610;8610 ZH;PP;;B;
CH 61192469;;;61192469;75356969;Société coopérative de laiterie de Mollie-Margot;Route des Quatres Croisées1;Société coopérative de laiterie de Mollie-Margot, Route des Quatres Croisées1, 1073, Switzerland ;1073;1073 VD;CC;;B;
CH 3100;;;3100;78247348;Beat Reist Käserei;Hauptstrasse18;Beat Reist Käserei, Hauptstrasse18, 3251, Switzerland ;3251;3251 BE;PP;;B, C, O;
CH 4053;46,7676647;7,2398426;4053;41965750;Marro Beat;Freiburgstrasse10;Marro Beat, Freiburgstrasse10, 1718, Switzerland ;1718;1718 FR;PP;;B, C;
CH 2434;46,8469226;6,8509928;2434;52147137;Estavayer Lait SA;Route de Payerne2;Estavayer Lait SA, Route de Payerne2, 1470, Switzerland ;1470;1470 FR;PP;;B;
CH 5677;47,1741867;8,9540578;5677;40190637;Molkerei Buttikon Niederberger;Kantonsstrasse45;Molkerei Buttikon Niederberger, Kantonsstrasse45, 8863, Switzerland ;8863;8863 SZ;PP;;B;
CH 40263578;47,1380219;8,5847806;40263578;40263578;Chäsladä Unterägeri GmbH;Oberdorfstrasse4;Chäsladä Unterägeri GmbH, Oberdorfstrasse4, 6314, Switzerland ;6314;6314 ZG;PP;;B;
CH 51981009;46,2913712;7,5519246;51981009;51981009;Cremo S.A.. Usine de Sierre;Rue de l'Ile Falcon5;Cremo S.A.. Usine de Sierre, Rue de l'Ile Falcon5, 3960, Switzerland ;3960;3960 VS;PP;;B;
CH 61196699;;;61196699;76475567;Société coopérative - Laiterie du Pigeon;Chemin du SaugeyChaufferosse;Société coopérative - Laiterie du Pigeon, Chemin du SaugeyChaufferosse, 1072, Switzerland ;1072;1072 VD;CC;;B;
