Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
36-152	"AB ""Rokiškio sūris"" Kirdonių pieno supirkimo punktas"	Biržų raj.	Biržų r., Kirdonių k.	Milk collection point,	 EU	Biržų r., Kirdonių k. , Biržų raj. , Lithuania	56,1725639	24,5889251
36-154	"AB ""Rokiškio sūris"" Kučgalio pieno supirkimo punktas"	Biržų raj.	Biržų r., Kučgalio k.	Milk collection point,	 EU	Biržų r., Kučgalio k. , Biržų raj. , Lithuania	56,0773009	25,075729
36-155	"AB ""Rokiškio sūris"" Kvetkų pieno supirkimo punktas"	Biržų raj.	Biržų r., Kvetkų k.	Milk collection point,	 EU	Biržų r., Kvetkų k. , Biržų raj. , Lithuania	56,1490639	25,138284
36-158	"AB ""Rokiškio sūris"" Mieliūnų pieno supirkimo punktas"	Biržų raj.	Biržų r., Mieliūnų k.	Milk collection point,	 EU	Biržų r., Mieliūnų k. , Biržų raj. , Lithuania		
36-161	"AB ""Rokiškio sūris"" Obelaukių pieno supirkimo punktas"	Biržų raj.	Biržų r., Obelaukių k.	Milk collection point,	 EU	Biržų r., Obelaukių k. , Biržų raj. , Lithuania	56,1985644	24,7856319
36-162	"AB ""Rokiškio sūris"" Pabiržės pieno supirkimo punktas"	Biržų raj.	Biržų r., Pabirės mstl.	Milk collection point,	 EU	Biržų r., Pabirės mstl. , Biržų raj. , Lithuania	56,1888609	24,6332139
36-163	"AB ""Rokiškio sūris"" Pačeriaukštės pieno supirkimo punktas"	Biržų raj.	Biržų r., Pačeriaukštės k.	Milk collection point,	 EU	Biržų r., Pačeriaukštės k. , Biržų raj. , Lithuania	56,264753	24,609886
36-165P	"AB ""Rokiškio sūris"" Papilio pieno supirkimo punktas"	Biržų raj.	Biržų r., Papilys	Milk collection point,	 EU	Biržų r., Papilys , Biržų raj. , Lithuania	56,1120909	25,006672
36-172P	"AB ""Rokiškio sūris"" Svilių pieno supirkimo punktas"	Biržų raj.	Biržų r., Svilių k.	Milk collection point,	 EU	Biržų r., Svilių k. , Biržų raj. , Lithuania	56,06231	24,8309509
36-173P	"AB ""Rokiškio sūris"" Šukionių pieno supirkimo punktas"	Biržų raj.	Biržų r., Šukionių k.	Milk collection point,	 EU	Biržų r., Šukionių k. , Biržų raj. , Lithuania	56,0215929	24,6426585
36-175P	"AB ""Rokiškio sūris"" Vabalninko pieno supirkimo punktas"	Biržų raj.	Biržų r., Vabalninkas	Milk collection point,	 EU	Biržų r., Vabalninkas , Biržų raj. , Lithuania	55,979422	24,750635
36-176P	"AB ""Rokiškio sūris"" Juostaviečių pieno supirkimo punktas"	Biržų raj.	Biržų r., Juostaviečių k.	Milk collection point,	 EU	Biržų r., Juostaviečių k. , Biržų raj. , Lithuania		
36-180P	"AB ""Rokiškio sūris"" Daunorių pieno supirkimo punktas"	Biržų raj.	Biržų r., Daunorių k.	Milk collection point,	 EU	Biržų r., Daunorių k. , Biržų raj. , Lithuania		
36-181P	"AB ""Rokiškio sūris"" Pučiakalnės pieno supirkimo punktas"	Biržų raj.	Biržų r., Pučiakalnė	Milk collection point,	 EU	Biržų r., Pučiakalnė , Biržų raj. , Lithuania	56,4122949	24,888102
36-250P	"UAB ""Šalva"" Kirdonių pieno supirkimo punktas"	Biržų raj.	Biržų r., Kirdonių k.	Milk collection point,	 EU	Biržų r., Kirdonių k. , Biržų raj. , Lithuania	56,1725639	24,5889251
36-251P	"UAB ""Šalva"" Kratiškių pieno supirkimo punktas"	Biržų raj.	Biržų r., Kratiškių k.	Milk collection point,	 EU	Biržų r., Kratiškių k. , Biržų raj. , Lithuania	56,27498	24,8224679
36-252P	"UAB ""Šalva"" Nausėdžių pieno supirkimo punktas"	Biržų raj.	Biržų r., Nausėdžių k.	Milk collection point,	 EU	Biržų r., Nausėdžių k. , Biržų raj. , Lithuania		
36-253P	"UAB ""Šalva"" Anglininkų pieno supirkimo punktas"	Biržų raj.	Biržų r., Anglininkų k.	Milk collection point,	 EU	Biržų r., Anglininkų k. , Biržų raj. , Lithuania	56,1319579	24,850741
36-254P	"UAB ""Šalva"" Satkūnų pieno supirkimo punktas"	Biržų raj.	Biržų r., Satkūnų k.	Milk collection point,	 EU	Biržų r., Satkūnų k. , Biržų raj. , Lithuania	56,0713639	24,929138
36-255P	"UAB ""Šalva"" Kupreliškio pieno supirkimo punktas"	Biržų raj.	Biržų r., Kupreliškio k.	Milk collection point,	 EU	Biržų r., Kupreliškio k. , Biržų raj. , Lithuania	56,039851	24,9659749
36-256P	"UAB ""Šalva"" Papilio pieno supirkimo punktas"	Biržų raj.	Biržų r., Papilys	Milk collection point,	 EU	Biržų r., Papilys , Biržų raj. , Lithuania	56,1120909	25,006672
36-257P	"UAB ""Šalva"" Kilučių pieno supirkimo punktas"	Biržų raj.	Biržų r., Kilučių k.	Milk collection point,	 EU	Biržų r., Kilučių k. , Biržų raj. , Lithuania		
36-259P	"UAB ""Šalva"" Nemunėlio Radviliškio pieno supirkimo punktas"	Biržų raj.	Biržų r., Nemunėlio Radviliškis	Milk collection point,	 EU	Biržų r., Nemunėlio Radviliškis , Biržų raj. , Lithuania	56,3966339	24,773337
36-260P	"UAB ""Šalva"" Biržų pieno supirkimo punktas"	Biržų raj.	Biržų r., Biržų k.	Milk collection point,	 EU	Biržų r., Biržų k. , Biržų raj. , Lithuania	56,2017719	24,7560118
36-261P	"UAB ""Šalva"" Eiskūdžių pieno supirkimo punktas"	Biržų raj.	Biržų r., Eiskūdžių k.	Milk collection point,	 EU	Biržų r., Eiskūdžių k. , Biržų raj. , Lithuania	56,1186368	25,1128222
