Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
66-114P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Krekenavos p.s.p."	Panevėžio raj.	Krekenavos mst., Krekenavos sen.	Milk collection point,	 EU	Krekenavos mst., Krekenavos sen. , Panevėžio raj. , Lithuania	55,552276	24,105508
66-119P	Normas ŽŪK Vadoklių p.s.p.	Panevėžio raj.	Vadoklių mst., Vadoklių sen.	Milk collection point,	 EU	Vadoklių mst., Vadoklių sen. , Panevėžio raj. , Lithuania	55,4968001	24,4648964
66-120 P	Almos Bubelienės pieno produktų gamybos ūkis	Panevėžio raj.	Pragarėlės k., Panevėžio sen., Panevėžio	The producer of small quantities,	domestic trade	Pragarėlės k., Panevėžio sen., Panevėžio , Panevėžio raj. , Lithuania	55,7347915	24,3574774
66-122 P	Zofijos Gvergždienės ūkis	Panevėžio raj.	Stetiškių k., Velžio sen., Panevėžio r.	The producer of small quantities,	domestic trade	Stetiškių k., Velžio sen., Panevėžio r. , Panevėžio raj. , Lithuania	55,7005537	24,3598505
66-122P	Normas ŽŪK Linkaučių p.s.p.	Panevėžio raj.	Linkaučių k., Krekenavos sen.	Milk collection point,	 EU	Linkaučių k., Krekenavos sen. , Panevėžio raj. , Lithuania	55,465179	24,153733
66-127 P	Salomėjos Skaržauskienės ūkis	Panevėžio raj.	Stipruolių k., Miežiškių sen., Panevėžio	The producer of small quantities,	domestic trade	Stipruolių k., Miežiškių sen., Panevėžio , Panevėžio raj. , Lithuania	55,7347915	24,3574774
66-128 P	Dominiko Šmigino ūkis	Panevėžio raj.	Upytės k., Upytės sen., Panevėžio r.	The producer of small quantities,	domestic trade	Upytės k., Upytės sen., Panevėžio r. , Panevėžio raj. , Lithuania	55,6496329	24,229257
66-129 P	Pranciškaus Preidžiaus ūkis	Panevėžio raj.	Grundiškio k., Karsakiškio sen., Panevėž	The producer of small quantities,	domestic trade	Grundiškio k., Karsakiškio sen., Panevėž , Panevėžio raj. , Lithuania	55,7347915	24,3574774
66-130P	Algis Augėnas	Panevėžio raj.	Naujamiesčio k., Naujamiesčio sen.	The producer of small quantities,	domestic trade	Naujamiesčio k., Naujamiesčio sen. , Panevėžio raj. , Lithuania	55,6862449	24,154819
66-132 P	Vlado Deksnio ūkis	Panevėžio raj.	Trakiškio k., miežiškių sen., Panevėžio	The producer of small quantities,	domestic trade	Trakiškio k., miežiškių sen., Panevėžio , Panevėžio raj. , Lithuania	55,692998	24,5618771
66-133 P	Stasės Puodžiukienės ūkis	Panevėžio raj.	Niaukonių k., Smilgių sen., Panevėžio r.	The producer of small quantities,	domestic trade	Niaukonių k., Smilgių sen., Panevėžio r. , Panevėžio raj. , Lithuania	55,7786463	24,1047904
66-140 P	Zinaidos Rutkauskaitės ūkis	Panevėžio raj.	Paliūniškio k., Karsakiškio sen., Panevė	The producer of small quantities,	domestic trade	Paliūniškio k., Karsakiškio sen., Panevė , Panevėžio raj. , Lithuania	55,7944089	24,4371148
66-141P	A. Augėno IĮ p.s.p.	Panevėžio raj.	Naujamiesčio k., Naujamiesčio sen.	Milk collection point,	 EU	Naujamiesčio k., Naujamiesčio sen. , Panevėžio raj. , Lithuania	55,6862449	24,154819
66-142P	"UAB ""Šalva"" pieno supirkimo punktas ""Girios"""	Panevėžio raj.	Mikėnų k., Vadoklių sen., Panevėžio r.	Milk collection point,	 EU	Mikėnų k., Vadoklių sen., Panevėžio r. , Panevėžio raj. , Lithuania	55,491383	24,48309
66-162P	Berta Šidlauskaitė	Panevėžio raj.	Burvelių k.,Krekenavos sen., Panevėžio r	The producer of small quantities,	domestic trade	Burvelių k.,Krekenavos sen., Panevėžio r , Panevėžio raj. , Lithuania	55,4727799	24,0689209
66-19	A.Ramanausko individuali gyvulių skerdykla	Panevėžio raj.	Rabikių k.	Meat, SH;P	 EU	Rabikių k. , Panevėžio raj. , Lithuania	55,6166728	24,3142283
66-20	"UAB ""Soltera"""	Panevėžio raj.	Velžio k.	Cold stores, CS, WH	 EU	Velžio k. , Panevėžio raj. , Lithuania	55,694803	24,430276
66-21	V.Baliūno IĮ	Panevėžio raj.	Durpyno g.6, Paežerio I k., Panevėžio s	Meat, SH;B;P;O	 EU	Durpyno g.6, Paežerio I k., Panevėžio s , Panevėžio raj. , Lithuania	55,7182469	24,3619514
66-26	"UAB ""Alksnio dūmas"""	Panevėžio raj.	Klevų g.36, Vaivadų k., Panevėžio sen.	Meat, PP;mp	 EU	Klevų g.36, Vaivadų k., Panevėžio sen. , Panevėžio raj. , Lithuania	55,7634901	24,3942396
66-31	"UAB ""Ristva ir Ko"""	Panevėžio raj.	Naujamiesčio sen., Daukniūnų k.	Meat, PP;mp	 EU	Naujamiesčio sen., Daukniūnų k. , Panevėžio raj. , Lithuania	55,765797	24,2262998
66-33	"MB ""Grundalas"""	Panevėžio raj.	Upytės sen., Vaišvilčių II k.	Fishery establishments, PP, RW	 EU	Upytės sen., Vaišvilčių II k. , Panevėžio raj. , Lithuania	55,6759829	24,2550929
67-001 V	"UAB ""Norfos mažmena"""	Pasvalio raj.	Ežero g. 1, Pasvalys	Butchers, CP;MP;MM	domestic trade	Ežero g. 1, Pasvalys , Pasvalio raj. , Lithuania	56,0595023	24,4110034
67-002 V	"UAB ""Palink"""	Pasvalio raj.	Gėlių g. 11, Pasvalys	Butchers, CP;MM;MP	domestic trade	Gėlių g. 11, Pasvalys , Pasvalio raj. , Lithuania	56,0617818	24,4108144
67-003 V	"UAB ""Naujoji mėsinė"""	Pasvalio raj.	Vilniaus g. 39-2, Pasvalys	Butchers, CP,MM,MP	domestic trade	Vilniaus g. 39-2, Pasvalys , Pasvalio raj. , Lithuania	56,0593095	24,4045985
67-006P	AB„Rokiškio sūris“ Girsūdų pieno supirkimo punktas	Pasvalio raj.	Girsūdų km, Daujėnų sen. Pasvalio r sav	Milk collection point,	 EU	Girsūdų km, Daujėnų sen. Pasvalio r sav , Pasvalio raj. , Lithuania	56,0132319	24,47994
67-014P	AB „Rokiškio sūris“ Mikoliškio psp	Pasvalio raj.	Mikoliškio k Pušaloto sen Pasvalio r sav	Milk collection point,	 EU	Mikoliškio k Pušaloto sen Pasvalio r sav , Pasvalio raj. , Lithuania	55,9003599	24,2362188
67-016P	AB„Pieno žvaigždės“Pasvalio sūr. Daujėnų psp	Pasvalio raj.	Daujėnų mst. Daujėnų sen. Pasvalio r s	Milk collection point,	 EU	Daujėnų mst. Daujėnų sen. Pasvalio r s , Pasvalio raj. , Lithuania	55,9760549	24,5185049
67-01P	"AB ""Pieno žvaigždės"" filialas Pasvalio sūrinė"	Pasvalio raj.	Mūšos g. 14	Milk establishments, PP;CS;RW	 EU  RU BY	Mūšos g. 14 , Pasvalio raj. , Lithuania	56,0703212	24,4055343
67-02	"UAB ""Naujoji mėsinė"""	Pasvalio raj.	Ąžuolų g. 54, Ličiūnų k., Krinčino sen.	Meat, CP;PP, mp	 EU	Ąžuolų g. 54, Ličiūnų k., Krinčino sen. , Pasvalio raj. , Lithuania	56,074432	24,4404476
67-03	Ūkininko Jono Maldučio mėsos tvarkymo patalpos	Pasvalio raj.	Totorkalnio g.7, Kiemėnų k., Namišių sen	Meat, CP;PP,mp	 EU	Totorkalnio g.7, Kiemėnų k., Namišių sen , Pasvalio raj. , Lithuania		
67-031P	AB„Rokiškio sūris“ Rinkūnų psp	Pasvalio raj.	Rinkūnų k., Pumpėnų sen, Pasv	Milk collection point,	 EU	Rinkūnų k., Pumpėnų sen, Pasv , Pasvalio raj. , Lithuania	55,9661999	24,4262899
67-034P	UAB„Šalva“ Ringužės pieno supirkimo punktas	Pasvalio raj.	Gulbinėnų k.Krinčino sen.Pasvalio r.sav.	Milk collection point,	 EU	Gulbinėnų k.Krinčino sen.Pasvalio r.sav. , Pasvalio raj. , Lithuania	56,080008	24,6468271
67-041P	AB„Pieno žvaigždės“Pasvalio sūr. Kalneliškio psp	Pasvalio raj.	Kalneliškio k. Vaškų sen. Pasvalio r.sav	Milk collection point,	 EU	Kalneliškio k. Vaškų sen. Pasvalio r.sav , Pasvalio raj. , Lithuania	56,1091909	24,1607339
67-044P	AB„Rokiškio sūris“ Krinčino psp	Pasvalio raj.	Krinčino mst. Krinčino sen. Pasvalio r s	Milk collection point,	 EU	Krinčino mst. Krinčino sen. Pasvalio r s , Pasvalio raj. , Lithuania	56,0844442	24,5246815
67-052P	AB„Rokiškio sūris“ Kiemėnų psp	Pasvalio raj.	Kiemėnų k., Namišių sen. Pasvalio r sav.	Milk collection point,	 EU	Kiemėnų k., Namišių sen. Pasvalio r sav. , Pasvalio raj. , Lithuania		
67-054P	AB„Pieno žvaigždės“Pasvalio sūr. Kiburių psp	Pasvalio raj.	Kiburių k. Vaškų sen. Pasvalio r. sav.	Milk collection point,	 EU	Kiburių k. Vaškų sen. Pasvalio r. sav. , Pasvalio raj. , Lithuania	56,1091909	24,1607339
67-062P	AB „Rokiškio sūris“ Vaškų psp	Pasvalio raj.	Vaškų mst. Vaškų sen. Pasvalio r sav	Milk collection point,	 EU	Vaškų mst. Vaškų sen. Pasvalio r sav , Pasvalio raj. , Lithuania	56,168808	24,2110499
67-064P	AB„Rokiškio sūris“ Norgėlų psp	Pasvalio raj.	Norgėlų k. Joniškėlio apyl. sen. Pasv r	Milk collection point,	 EU	Norgėlų k. Joniškėlio apyl. sen. Pasv r , Pasvalio raj. , Lithuania	55,9708379	24,110248
67-067P	AB„Rokiškio sūris“ Švobiškio psp	Pasvalio raj.	Švobiškio k. Joniškėlio apyl. sen. Pasv	Milk collection point,	 EU	Švobiškio k. Joniškėlio apyl. sen. Pasv , Pasvalio raj. , Lithuania	56,0602879	24,156361
67-068P	AB„Rokiškio sūris“ Kalno psp	Pasvalio raj.	Kalno k., Pumpėnų sen. Pasvalio r. sav.	Milk collection point,	 EU	Kalno k., Pumpėnų sen. Pasvalio r. sav. , Pasvalio raj. , Lithuania	55,977328	24,356247
67-077P	ŽŪK„Pieno puta“Namišių psp	Pasvalio raj.	Namišių k. Namišių sen. Pasvalio r.sav.	Milk collection point,	 EU	Namišių k. Namišių sen. Pasvalio r.sav. , Pasvalio raj. , Lithuania	56,2133899	24,307721
67-078P	ŽŪK„Pieno puta“ Gulbinėnų psp	Pasvalio raj.	Gulbinėnų k.Krinčino sen.Pasvalio r.sav.	Milk collection point,	 EU	Gulbinėnų k.Krinčino sen.Pasvalio r.sav. , Pasvalio raj. , Lithuania	56,080008	24,6468271
67-079P	ŽŪK„Pieno puta“ Krinčino psp	Pasvalio raj.	Krinčino mst. Krinčino sen. Pasvalio r s	Milk collection point,	 EU	Krinčino mst. Krinčino sen. Pasvalio r s , Pasvalio raj. , Lithuania	56,0844442	24,5246815
67-081P	ŽŪK„Pieno puta“ Švobiškio psp	Pasvalio raj.	Švobiškio k. Joniškėlio apyl. sen. Pasv	Milk collection point,	 EU	Švobiškio k. Joniškėlio apyl. sen. Pasv , Pasvalio raj. , Lithuania	56,0602879	24,156361
67-082P	ŽŪK„Pieno puta“ Ustukių psp	Pasvalio raj.	Ustukių k. Pasvalio apyl s. Pasvalio r.s	Milk collection point,	 EU	Ustukių k. Pasvalio apyl s. Pasvalio r.s , Pasvalio raj. , Lithuania	56,0769769	24,363194
67-083P	ŽŪK„Pieno puta“ Meškalaukio psp	Pasvalio raj.	Meškalaukio k. Joniškėlio apyl sen. Pasv	Milk collection point,	 EU	Meškalaukio k. Joniškėlio apyl sen. Pasv , Pasvalio raj. , Lithuania	56,019644	24,1768954
67-084P	ŽŪK„Pieno puta“Žilpamūšio psp	Pasvalio raj.	Žilpamūšio k.Saločių sen. Pasvalio r.sav	Milk collection point,	 EU	Žilpamūšio k.Saločių sen. Pasvalio r.sav , Pasvalio raj. , Lithuania	56,1561299	24,4425469
67-086P	Ūkininkė Inga Aglinskienė	Pasvalio raj.	Manikūnų km. Namišių sen. Pasvalio r.sav	Milk collection point,	 EU	Manikūnų km. Namišių sen. Pasvalio r.sav , Pasvalio raj. , Lithuania		
67-089P	ūkininkė Danguolė Korsakienė	Pasvalio raj.	Pervalkų km. Pasvalio apyl.sen. Pasvalio	Milk collection point,	 EU	Pervalkų km. Pasvalio apyl.sen. Pasvalio , Pasvalio raj. , Lithuania	56,0601907	24,3989292
67-090P	Ūkininkė Irena Švalbonienė	Pasvalio raj.	Dagiliškio km. Pasvalio apyl.sen.Pasv r.	Milk collection point,	 EU	Dagiliškio km. Pasvalio apyl.sen.Pasv r. , Pasvalio raj. , Lithuania	56,0604619	24,396291
67-092P	ūkininkė Valerija Zavackienė	Pasvalio raj.	Jurgėnų km.Pumpėnų sen.Pasvalio r. sav.	Milk collection point,	 EU	Jurgėnų km.Pumpėnų sen.Pasvalio r. sav. , Pasvalio raj. , Lithuania	55,9950559	24,362514
67-094P	ūkininkė Greta Katauskaitė	Pasvalio raj.	Žilpamūšio k.Saločių sen. Pasvalio r.sav	Milk collection point,	 EU	Žilpamūšio k.Saločių sen. Pasvalio r.sav , Pasvalio raj. , Lithuania	56,1561299	24,4425469
67-095P	UAB„Muštuvis“	Pasvalio raj.	Joniškėlio apyl.Meškalaukio k., Pievų g	Milk collection point,	domestic trade	Joniškėlio apyl.Meškalaukio k., Pievų g , Pasvalio raj. , Lithuania	56,019644	24,1768954
67-095P	uab „Muštuvis“	Pasvalio raj.	Joniškėlio apyl sen., Meškalaukio k.	Milk collection point,	domestic trade	Joniškėlio apyl sen., Meškalaukio k. , Pasvalio raj. , Lithuania	56,019644	24,1768954
67-097P	Valerija šteimantienė	Pasvalio raj.	Saločių sen., Žadeikonių k. Mokyklos g.3	The producer of small quantities,	domestic trade	Saločių sen., Žadeikonių k. Mokyklos g.3 , Pasvalio raj. , Lithuania	56,2005098	24,4122318
67-097P	Valerija Šteimantienė	Pasvalio raj.		The producer of small quantities,	domestic trade	 , Pasvalio raj. , Lithuania	56,0418676	24,3188772
67-14	"UAB ""Cesta"""	Pasvalio raj.	Mikoliškio k., Pušaloto sen	Poultry, SH,A;CP,A	 EU	Mikoliškio k., Pušaloto sen , Pasvalio raj. , Lithuania	55,9003599	24,2362188
67-70	ŽŪK Mikoliškio paukštynas	Pasvalio raj.	Mikoliškio k.	Egg establishments, EPC	 EU	Mikoliškio k. , Pasvalio raj. , Lithuania	55,9019583	24,2385683
68-001 P	"ŽŪKB ""Pieno gėlė"""	Plungės raj.	Birutės g. 49a, Plungė	Milk collection center, CC	 EU	Birutės g. 49a, Plungė , Plungės raj. , Lithuania	55,9147193	21,8160857
68-002 V	MAXIMA LT, UAB	Plungės raj.	J.Tumo Vaižganto g. 81, Plungė	Butchers, MM;MP;CP	domestic trade	J.Tumo Vaižganto g. 81, Plungė , Plungės raj. , Lithuania	55,9043649	21,8328851
68-002PP	Zuzana Buivydienė	Plungės raj.	Žem. Kalvarija mst., sen.	The producer of small quantities, pg	domestic trade	Žem. Kalvarija mst., sen. , Plungės raj. , Lithuania	56,1102079	22,0094271
68-002Ž	Maxima LT, UAB parduotuvė	Plungės raj.	Tumo Vaižganto g. 81, Plungė	The producer of small quantities, GŽT	domestic trade	Tumo Vaižganto g. 81, Plungė , Plungės raj. , Lithuania	55,9043649	21,8328851
68-003PP	Angelija Brazdeikienė	Plungės raj.	Dovainių k., Platelių sen.	The producer of small quantities, pg	domestic trade	Dovainių k., Platelių sen. , Plungės raj. , Lithuania	56,0241892	21,8224204
68-004 V	"UAB ""Palink"""	Plungės raj.	Laisves g. 5, Plungė	Butchers, MM;MP	domestic trade	Laisves g. 5, Plungė , Plungės raj. , Lithuania	55,90868	21,8573537
68-005P	"AB ""Žemaitijos pienas"" Gintališkės pieno supirkimo punktas"	Plungės raj.	Gintališkės k., Platelių sen.	Milk collection point, PSP	 EU	Gintališkės k., Platelių sen. , Plungės raj. , Lithuania	56,0484849	21,7248759
68-005PP	Antanas Simutis	Plungės raj.	Papievių k., Šateikių sen.	The producer of small quantities, pg	domestic trade	Papievių k., Šateikių sen. , Plungės raj. , Lithuania	55,959599	21,634855
68-006PP	Gediminas Jonušas	Plungės raj.	Varkalių k., Nausodžio sen.	The producer of small quantities, pg	domestic trade	Varkalių k., Nausodžio sen. , Plungės raj. , Lithuania	55,8842511	21,8138259
68-007 V	"UAB ""Norfos mažmena"""	Plungės raj.	Kalniškių g. 18	Butchers, CP;MM;MP	domestic trade	Kalniškių g. 18 , Plungės raj. , Lithuania	55,9050585	21,8443908
68-008 M	Ūkininkas Kazimieras Baginskas	Plungės raj.	Varkalių k.,Nausodžio sen.	The producer of small quantities, sp	domestic trade	Varkalių k.,Nausodžio sen. , Plungės raj. , Lithuania	55,8842511	21,8138259
68-008P	"AB ""Žemaitijos pienas"" Alsėdžių pieno supirkimo punktas"	Plungės raj.	Alsėdžių mst., Alsėdžių sen.	Milk collection point, PSP	 EU	Alsėdžių mst., Alsėdžių sen. , Plungės raj. , Lithuania	56,0309586	22,0440792
68-009 PP	Paulius Klapatauskas	Plungės raj.	Vilkų k., Žemaičių Kalvarijos sen.	The producer of small quantities, pg	domestic trade	Vilkų k., Žemaičių Kalvarijos sen. , Plungės raj. , Lithuania	56,1016741	21,991442
68-009P	"AB ""Žemaitijos pienas"" Platelių pieno supirkimo punktas"	Plungės raj.	Platelių mst., Platelių sen.	Milk collection point, PSP	 EU	Platelių mst., Platelių sen. , Plungės raj. , Lithuania	56,0241892	21,8224204
68-01	Ūkininko Kazimiero Baginsko mėsos cehas	Plungės raj.	Varkalių k.	Meat, CP;MP,MM;SH;P,B,O,C	 EU	Varkalių k. , Plungės raj. , Lithuania	55,8843569	21,8072349
68-010P	"AB,,Žemaitijos pienas""""Bubėnų pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Bubėnų k.	Milk collection point,	 EU	Rietavo sav.,Bubėnų k. , Rietavo sav. , Lithuania		
68-012P	"AB,,Žemaitijos pienas""""Tverų pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Tverų k.	Milk collection point,	 EU	Rietavo sav.,Tverų k. , Rietavo sav. , Lithuania	55,731979	22,147668
68-013P	"AB,,Žemaitijos pienas""""Pelaičių pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Pelaičių k.	Milk collection point,	 EU	Rietavo sav.,Pelaičių k. , Rietavo sav. , Lithuania	55,7021719	21,9986564
68-014 V	"UAB ""S. Jurkus ir partneriai"""	Plungės raj.	J. Tumo-Vaižganto g. 116, Plungė	Butchers, CP;MM;MP	domestic trade	J. Tumo-Vaižganto g. 116, Plungė , Plungės raj. , Lithuania	55,90041	21,8263682
68-016P	"AB ""Žemaitijos pienas"" Kantaučių pieno supirkimo punktas"	Plungės raj.	Kantaučių k., Žlibinų sen.	Milk collection point, PSP	 EU	Kantaučių k., Žlibinų sen. , Plungės raj. , Lithuania	55,904428	22,0506889
68-017P	"AB,,Žemaitijos pienas""""Gomontlaukio pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Gomontlaukio k.	Milk collection point,	 EU	Rietavo sav.,Gomontlaukio k. , Rietavo sav. , Lithuania	55,7021719	21,9986564
68-017P	Saulius Petrutis	Plungės raj.	Gegrėnų k., Žemaičių Kalvarijos sen.	The producer of small quantities, pg	domestic trade	Gegrėnų k., Žemaičių Kalvarijos sen. , Plungės raj. , Lithuania	56,0928339	21,9221589
68-018M	Petras Mockus	Plungės raj.	Mižuikių k., Kulių sen.	The producer of small quantities, sp	domestic trade	Mižuikių k., Kulių sen. , Plungės raj. , Lithuania	55,8046168	21,6367221
68-019 P	Vytautas Pupkevičius	Plungės raj.	Stirbaičių k., Platelių sen.	The producer of small quantities, pg	domestic trade	Stirbaičių k., Platelių sen. , Plungės raj. , Lithuania	56,0241892	21,8224204
68-02	Ūkininko Kazimiero Baginsko mėsinė	Plungės raj.	Pramonės pr. 5, Plungė	Meat, CP;MM;MP;PP;mp	 EU	Pramonės pr. 5, Plungė , Plungės raj. , Lithuania	55,9184909	21,8210271
68-022P	"ŽŪKB""Pieno gėlė""Žlibinų pieno supirkimo punktas"	Plungės raj.	Žlibinų k., Žlibinų sen.	Milk collection point, PSP	 EU	Žlibinų k., Žlibinų sen. , Plungės raj. , Lithuania	55,9022008	22,0547481
68-023	Laimutė Arlauskienė	Plungės raj.	Godelių k., Šateikių sen.	The producer of small quantities, pg	domestic trade	Godelių k., Šateikių sen. , Plungės raj. , Lithuania	55,9654228	21,7155688
68-024	Kristina Kontrimienė	Plungės raj.	Pauošnių k., Babrungo sen.,	The producer of small quantities, sp	domestic trade	Pauošnių k., Babrungo sen., , Plungės raj. , Lithuania	55,900963	21,875015
68-024P	"ŽŪK,,Pieno šaltinis"""""	Rietavo sav.	Rietavo sav.,Medingėnai	Milk collection point,	 EU	Rietavo sav.,Medingėnai , Rietavo sav. , Lithuania	55,8127889	22,072046
68-025	Aleksandra Riaukienė	Plungės raj.	Reiskių g.17, Šiemulių k., Kulių sen.,	The producer of small quantities, pieno produktai	domestic trade	Reiskių g.17, Šiemulių k., Kulių sen., , Plungės raj. , Lithuania	55,8166667	21,55
68-026P	"ŽŪKB""Pieno gėlė"" Žemaičių Kalvarijos pieno supirkimo punktas"	Plungės raj.	Žem. Kalvarijos k., Žem. Kalvarijos sen.	Milk collection point, PSP	 EU	Žem. Kalvarijos k., Žem. Kalvarijos sen. , Plungės raj. , Lithuania	56,1089327	22,0128571
68-027	Manto Birškaus individuali veikla	Plungės raj.	Plungės g.45, Beržoro k., Platelių sen.	The producer of small quantities, žp	domestic trade	Plungės g.45, Beržoro k., Platelių sen. , Plungės raj. , Lithuania	56,0241892	21,8224204
68-028P	"ŽŪKB""Pieno gėlė"" Stalgėnų pieno supirkimo punktas"	Plungės raj.	Stalgėnų k., Stalgėnų sen.	Milk collection point, PSP	 EU	Stalgėnų k., Stalgėnų sen. , Plungės raj. , Lithuania	55,8269829	21,8828091
68-029P	"ŽŪKB,,Pieno gėlė"""	Rietavo sav.	Rietavo sav.,Daugėdų k.	Milk collection point,	 EU	Rietavo sav.,Daugėdų k. , Rietavo sav. , Lithuania	55,7833333	21,9333333
68-03 P	"UAB ""Orka foods"""	Plungės raj.	Birutės skg. 10, Macenių k.,	Milk establishments, PP;Cs	 EU	Birutės skg. 10, Macenių k., , Plungės raj. , Lithuania	55,9130464	21,8376933
68-032P	"AB ""Žemaitijos pienas"" Žemaičių Kalvarijos pieno supirkimo punktas"	Plungės raj.	Žem. Kalvarijos k., Žem. Kalvarijos sen.	Milk collection point, PSP	 EU	Žem. Kalvarijos k., Žem. Kalvarijos sen. , Plungės raj. , Lithuania	56,1089327	22,0128571
68-033P	"ŽŪKB,,Pieno gėlė"""	Rietavo sav.	Rietavo sav.,Labardžių k.	Milk collection point,	 EU	Rietavo sav.,Labardžių k. , Rietavo sav. , Lithuania	55,681256	22,0392439
68-034P	"AB,,Žemaitijos pienas""""Daugėdų pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Daugėdų k.	Milk collection point,	 EU	Rietavo sav.,Daugėdų k. , Rietavo sav. , Lithuania	55,7833333	21,9333333
68-036P	"ŽŪKB""Pieno gėlė"" Kantaučių pieno supirkimo punktas"	Plungės raj.	Kantaučių k., Žlibinų sen.	Milk collection point, PSP	 EU	Kantaučių k., Žlibinų sen. , Plungės raj. , Lithuania	55,904428	22,0506889
68-037P	"ŽŪKB""Pieno gėlė"" Narvaišių pieno supirkimo punktas"	Plungės raj.	Narvaišių k., Šateikių	Milk collection point, PSP	 EU	Narvaišių k., Šateikių , Plungės raj. , Lithuania	55,9364479	21,68975
68-038P	"ŽŪKB ""Pieno gėlė""Gegrėnų pieno supirkimo punktas"	Plungės raj.	Gegrėnų k., Žem. Kalvarijos sen.	Milk collection point, PSP	 EU	Gegrėnų k., Žem. Kalvarijos sen. , Plungės raj. , Lithuania	56,0928339	21,9221589
68-04	"KB ""Europe eggs"""	Plungės raj.	Birutės skg. 5, Macenių k.	Egg establishments, EPC	 EU	Birutės skg. 5, Macenių k. , Plungės raj. , Lithuania	55,9130464	21,8376933
68-042P	"AB""Pieno žvaigždės"" fil. Mažeikių pieninė Alsėdžių pieno supirkimo pun"	Plungės raj.	Alsėdžių mst., Alsėdžių sen.	Milk collection point, PSP	 EU	Alsėdžių mst., Alsėdžių sen. , Plungės raj. , Lithuania	56,0309586	22,0440792
68-043P	"ŽŪK,,Rešketėnai"""""	Rietavo sav.	Rietavo sav.,Medingėnai k.	Milk collection point,	 EU	Rietavo sav.,Medingėnai k. , Rietavo sav. , Lithuania	55,8127889	22,072046
68-048P	"ŽŪKB,,Pieno gėlė"""	Rietavo sav.	Rietavo sav.,Tverai	Milk collection point,	 EU	Rietavo sav.,Tverai , Rietavo sav. , Lithuania	55,731979	22,147668
68-049P	"KB ""Ūkininkų pienas"" Šateikių pieno supirkimo punktas"	Plungės raj.	Liepgirių g. 14, Šateikių k.	Milk collection point, PSP	 EU	Liepgirių g. 14, Šateikių k. , Plungės raj. , Lithuania	55,9363744	21,6911761
68-05	"UAB ""Orka foods"""	Plungės raj.	Birutės skg. 10, Macenių k.	Meat, MP;CS;RW	 EU  RU	Birutės skg. 10, Macenių k. , Plungės raj. , Lithuania	55,9130464	21,8376933
68-051P	"ŽŪK,,Pieno šaltinis"""""	Rietavo sav.	Rietavo sav.,Girdvainių k.	Milk collection point,	 EU	Rietavo sav.,Girdvainių k. , Rietavo sav. , Lithuania		
68-052P	"ŽŪK,,Pieno šaltinis"""""	Rietavo sav.	Rietavo sav.,Tauravo k.	Milk collection point,	 EU	Rietavo sav.,Tauravo k. , Rietavo sav. , Lithuania		
68-053P	"AB,,Žemaitijos pienas""""Tauravo pieno supirkimo punktas"	Rietavo sav.	Rietavo sav.,Tauravo k.	Milk collection point,	 EU	Rietavo sav.,Tauravo k. , Rietavo sav. , Lithuania		
68-055P	"AB ""Pieno žvaigždės""fil.Mažeikių pieninė Karklėnų pieno supirkimo punk"	Plungės raj.	Karklėnų k., Nausodžio sen.	Milk collection point, PSP	 EU	Karklėnų k., Nausodžio sen. , Plungės raj. , Lithuania	55,8767839	21,700664
68-056P	"AB ""Pieno žvaigždės""fil. Mažeikių pieninė Kulių pieno supirkimo punkt"	Plungės raj.	Gaisrininkų g.4, Kulių k., Kulių	Milk collection point, PSP	 EU	Gaisrininkų g.4, Kulių k., Kulių , Plungės raj. , Lithuania	55,8046501	21,6563333
68-058P	"KB ""Ūkininkų pienas"" Aleksandravo pieno supirkimo punktas"	Plungės raj.	Aleksandravo k., Šateikių sen.	Milk collection point, PSP	 EU	Aleksandravo k., Šateikių sen. , Plungės raj. , Lithuania	55,926694	21,6290681
68-059P	"ŽŪKB""Pieno gėlė"" Pučkorių pieno supirkimo punktas"	Plungės raj.	Pučkorių k., Žem. Kalvarijos sen.	Milk collection point, PSP	 EU	Pučkorių k., Žem. Kalvarijos sen. , Plungės raj. , Lithuania	56,1061429	21,878187
68-06	"UAB ""Orka foods"""	Plungės raj.	Birutės skg. 10, Maceniu k.	Fishery establishments, PP;CS;RW	 EU  RU	Birutės skg. 10, Maceniu k. , Plungės raj. , Lithuania	55,9130464	21,8376933
68-065P	"ŽŪKB,,Pieno gėlė"""	Rietavo sav.	Rietavo sav.,Girėnų k.	Milk collection point,	 EU	Rietavo sav.,Girėnų k. , Rietavo sav. , Lithuania	55,6318699	21,9950739
68-066P	"ŽŪKB ""Pieno gėlė"" Aleksandravo pieno supirkimo punktas"	Plungės raj.	Aleksandravo k., Šateikių sen.	Milk collection point, PSP	 EU	Aleksandravo k., Šateikių sen. , Plungės raj. , Lithuania	55,926694	21,6290681
68-067P	"ŽŪK,,Pieno šaltinis"""""	Rietavo sav.	Rietavo sav.,Liolių k.	Milk collection point,	 EU	Rietavo sav.,Liolių k. , Rietavo sav. , Lithuania	55,7594759	21,851525
