Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.08633/TO;CAZA GROUMET S.L.;Toledo/YEBENES (LOS);39.5818276;-3.8706223;GHE, PP;wU, wG;MP
10.08636/CO;HERMANOS ESCRIBANO CAPITAN S.L.;Córdoba/VILLANUEVA DE CORDOBA;38.3224271;-4.6286748;RW;;MP
10.08637/J;CARNICAS DE ALDEAQUEMADA S.L.;Jaén/ALDEAQUEMADA;38.4106741;-3.3714514;GHE, MM, MP, PP;wU, wG;MP
10.08638/GR;CARNES TOLESA S.L.;Granada/GRANADA;37.1830197;-3.602192;CS, CP;;
10.08639/NA;M. ETXENIKE, S.A.L.;Navarra/AURIZBERRI / ESPINAL;42.9789536;-1.3688535;PP;;MP
10.08641/GE;MAROBEN SL;Girona/FIGUERES;42.2666314;2.9638434;PP;;MP
10.08643/SA;HIJOS DE ATILANO GONZALEZ, S. L.;Salamanca/LEDRADA;40.4691646;-5.7201455;PP;;MP
10.08654/AV;AYUNTAMIENTO DE NAVALPERAL DE PINARES;Ávila/NAVALPERAL DE PINARES;40.593737;-4.4106804;SH;B;
10.08655/TO;EMBUTIDOS ALIA, S.L.;Toledo/ESCALONILLA;39.9249689;-4.3488172;MM, MP, PP;;MP
10.08657/MA;ARTESAL S.L.;Málaga/ARRIATE;36.7991421;-5.1407457;PP;;MP
10.08659/CR;EMBUTIDOS NARANJO, S.L.;Ciudad Real/BOLAÑOS DE CALATRAVA;38.9062533;-3.6629811;CP, PP;;MP
10.08664/M;MANUEL JAQUETE, S.L.;Madrid/MADRID;40.4167047;-3.7035825;RW, CP, MM, MP;;MP
10.08671/GR;EMBUTIDOS Y JAMONES HERMANOS POZO S.L.;Granada/CULLAR;37.5848965;-2.5778574;CP, MM, MP, PP;;MP
10.08674/CC;VERAVIC S.L.;Cáceres/CUACOS DE YUSTE;40.1044746;-5.7240485;SH, CP, PP;A;
10.08693/BA;EUROJAMON S.L.;Badajoz/BADAJOZ;38.8782064;-6.9701574;PP;;MP
10.08694/B;GIL CARDUS SA;Barcelona/MOLINS DE REI;41.4138087;2.0159626;PP;;MP
10.08695/B;CARNIQUES D'OSONA SL;Barcelona/VIC;41.9292417;2.2548654;CS, CP;;
10.08698/J;JUAN LOPEZ LOPEZ S.L.;Jaén/BEGIJAR;37.9853073;-3.5342046;CP;;
10.08702/H;MATADERO INDUSTRIAL DE CORTEGANA S.A.;Huelva/JABUGO;37.9167323;-6.7285322;CP, PP;;MP
10.08707/VA;RTE MANNIX S.C.;Valladolid/CAMPASPERO;41.49234;-4.19362;SH;C, O;
10.08713/VA;SOCIEDAD COOPERATIVA DE SERVICIOS CARNICOS VILLA DEL ALON;Valladolid/VILLALON DE CAMPOS;42.0984494;-5.0347132;SH;P, B, C, O;
10.08725/MU;JOSE SANCHEZ SANCHEZ Y OTROS, C.B.;Murcia/BENIEL;38.0469055;-1.0012503;CP;;
10.08728/P;S. A. T. Nº 9182 SANTULLAN;Palencia/BARRUELO DE SANTULLAN;42.9087738;-4.2880369;MM, MP, PP;;MP
10.08729/AB;ARCOS Y ARMIÑANA, S.L.;Albacete/VILLARROBLEDO;39.2681742;-2.6042132;RW, MM, MP, PP;;MP
10.08730/LO;FERNANDO MARTINEZ SANTAMARIA;Rioja, La/VENTOSA;42.40252045;-2.6340471005;CP, MM, MP, PP;;MP
10.08731/LO;LORENZO MARIN DEL RIO;Rioja, La/ALESANCO;42.4142868;-2.8170841;PP;;BL, MP
10.08739/LO;PEDRO JOSE RUIZ CASTILLO;Rioja, La/BRIONES;42.5420879;-2.7878054;PP;;MP
10.08744/PO;MAFOODS, S. L.;Pontevedra/VIGO;42.2376602;-8.7247205;RW, CP, MM, MP, PP;;MP
10.08751/B;M. VILAMALA SL;Barcelona/TARADELL;41.8762624;2.2859511;CP, MM, MP, PP;;MP
10.08754/TE;MATADERO COMARCAL VALDERROBRES, S.L.;Teruel/VALDERROBRES;40.8750992;0.1547783;SH, PP;P, B, C, O;ST
10.08774/CC;DOSMAR S.L.;Cáceres/ACEHUCHE;39.8027181282;-6.6334282778;PP;;MP
10.08777/TE;AIRESANO PRODUCCIÓN S.L.;Teruel/PUEBLA DE VALVERDE (LA);40.224544;-0.9301721;RW, PP;;MP
10.08780/SA;HIJOS DE SALVADOR MARTIN, S. L.;Salamanca/CAMPILLO DE SALVATIERRA;40.5706225;-5.6766951;PP;;MP
10.08783/BA;HERMANOS DOMINGUEZ JIMENEZ S.L.;Badajoz/MONTEMOLIN;38.1542754;-6.2123046;PP;;MP
10.08786/O;CARNICAS HICOR SL;Asturias/GIJON/XIXON;43.5450394;-5.6626443;CS, MM, MP, PP;;MP
10.08802/V;CARNES DOMINGO C.B.;Valencia/València/MACASTRE;39.4832181;-0.3990211;PP;;MP
10.08823/B;J. VIÑAS SA;Barcelona/VIC;41.9292417;2.2548654;CP, MM, MP;;
10.08826/VI;CARNICAS MIROTZ, S.L.;Araba/Álava/VITORIA-GASTEIZ;42.8463449;-2.6725146;RW, CP, PP;;MP
10.08827/TE;AYUNTAMIENTO DE CALACEITE;Teruel/CALACEITE;41.0158195;0.1894133;SH;C, O;
10.08843/O;BLANCO PRADO, JORGE MANUEL;Asturias/BARGANIZA (LA);43.4414642;-5.756244;PP;;
10.08844/PM;ACEITES RIPOLL S.L.;Palma de Mallorca/CAIMARI;39.5658913;2.7760492;RW;;
10.08847/SA;GRASAS GUIJUELO, S. A.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;
10.08848/SA;PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;MP
