code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
BB 025;BB;Gläserne Molkerei Münchehofe GmbH;Molkereistrasse 1;15748 Münchehofe;BB 025;;;;;;;;;;;;;;;;;;;;;;;;;;X;B;;;;;;;;;;;;;;;;;;52.1470142;13.8309982
BB 026;BB;Hoffnungstaler Anstalten Lobetal;Bodelschwinghstraße 27;16321 Bernau bei Berlin;BB 026;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;52.7282793;13.5944869
BB 027;BB;Bauernkäserei Wolters GmbH;Bandelow 50/81;17337 Uckerland;BB 027;;;X;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;53.416315;13.8516041
BB 51002;BB;C+C Schaper GmbH;Caasmannstraße  3;14770 Brandenburg an der Havel;;BB 51002;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.4051112;12.5318848
BB 51003;BB;Fischräucherei Schwarz;Bäckerstraße  11;14770 Brandenburg an der Havel;;BB 51003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;52.4139003;12.5550661
BB 51005;BB;Meier Großhandel für Tiefkühlkost GmbH;Spittastraße  15;14770 Brandenburg an der Havel;;BB 51005;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.41903;12.52206
BB 51006;BB;Kernchen Lebensmittelhandels GmbH;Am Industriegelände  4a;14772 Brandenburg an der Havel;;BB 51006;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.428323;12.545595
BB 51007;BB;Landwirtschaftsbetrieb Matthias Lau;Brielower Grenze 15;14772 Brandenburg an der Havel;;BB 51007;;;;;B;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.4458156;12.5466919
BB 51008;BB;BFW - Brandenburger Fleisch- und Wurstwarenspezialitäten GmbH;Henriettenstraße 7;14772 Brandenburg an der Havel;;BB 51008;;;X;;;B, O, P;;A;;;;wL, wU, wG;B, P;B, O, P, A, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;X;;;;;;;;;;52.43711;12.52013
BB 51009;BB;Bradleys Country Food GmbH;Am Piperfenn 7;14776 Brandenburg an der Havel;;BB 51009;;X;X;;;;;A;;;;;A;B, P, A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.37546;12.5974199
BB 51010;BB;RWS Cateringservice GmbH;An der Bundesstraße 1, Haus-Nr. 5;14776 Brandenburg an der Havel;;BB 51010;;;;;;;;;;;;;;;;mp;;;;;;;;;;B, C, O, S;;;X;;;;;X;;;;;;Catering/Großküche;;;;52.4088824;12.6151816
BB 52001;BB;OHG SELGROS Cash & Carry GmbH & Co. Markt Cottbus;Bärenbrücker Straße 2;03042 Cottbus;;BB 52001;;;;;;B, O, P, C;;;;;;;B, O, P, C, A, L, fG, wL, R, wU, wA;B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7742513;14.3733384
BB 52002;BB;Fleischerei Lars Speer;Friedrich-Ebert-Straße 20;03044 Cottbus;;BB 52002;;;;;;;;;;;;;B, O, P, C, A, L, fG, wL, R, wU, wA;B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7641174;14.3320003
BB 52003;BB;MIOS Fleischwaren GmbH C & C Fleischfachabteilung MIOS Cottbus;Am Seegraben  23;03051 Cottbus;;BB 52003;;;;;;B, O, P, C;;;;;;;B, O, P, C, A, L, fG, wL, R, wU, wA;B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.71912;14.31097
BB 52005;BB;Mühlenhof Gallinchen GmbH;Kutzeburger Mühle  1;03051 Cottbus;;BB 52005;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.70577;14.369874
BB 52006;BB;Mekong Entenbraterei;Gubener Straße 17;03042 Cottbus;;BB 52006;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7657576;14.3685319
BB 52008;BB;Büttner Transport Service GmbH & Co. KG;Drewitzer Straße  20;03042 Cottbus;;BB 52008;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7695846;14.3628221
BB 52010;BB;Entenbraterei  Binh An;Merzdorfer Bahnhofstr. 33;03042 Cottbus;;BB 52010;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7699538;14.3886096
BB 53001;BB;EDEKA Foodservice Stiftung & Co. KG;Spitzkrugring 5;15234 Frankfurt (Oder);;BB 53001;;;;;;B, P;;;;;;;B, P;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3609394;14.5252138
BB 53002;BB;R & S Wildwaren GbR;An der Schwedenschanze 6;15232 Frankfurt (Oder);;BB 53002;;;;;;;;;;;;wU, wG;wU, wG;wG, wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3232417;14.5390388
BB 53003;BB;Gronenfelder Werkstätten gGmbH;Gronenfelder Weg  22;15234 Frankfurt (Oder);;BB 53003;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.3556438;14.5233646
BB 53004;BB;Steffen Münzenberg;Grubenstraße 5;15234 Frankfurt (Oder);;BB 53004;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.3586;14.49204
