code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
HB 00128;HB;Feddersen Food GmbH;Am Grollhamm 11;27574 Bremerhaven;;HB 00128;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5250281;8.6219306
HB 00129;HB;Fleischerei- und Partyservice Boes und Sohn GbR;Burger Heerstraße  34;28719 Bremen;;HB 00129;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;53.1551205;8.7043349
HB 00130;HB;Fleischerei Karl Safft KG;Vor dem Steintor  135;28203 Bremen;;HB 00130;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0714296;8.8305369
HB 00132;HB;Fleischer Einkauf AG;Bergener Str. 10;28307 Bremen;;HB 00132;;X;X;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0313308;8.9034635
HB 00134;HB;Henry Lamotte Oils GmbH;Merkurstraße  47;28197 Bremen;;HB 00134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.0906093;8.7161601
HB 00135;HB;METRO LOGISTICS Germany GmbH;Haferwende  5;28357 Bremen;;HB 00135;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.11136;8.87715
HB 00136;HB;A. Hinsch & Co. Bremen GmbH;Am Mohrenshof 4;28277 Bremen;;HB 00136;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0451955;8.8247018
HB 00137;HB;Fleischerei Dohrmann;Friedrich-Humbert-Straße  95;28759 Bremen;;HB 00137;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.1661814;8.6403224
HB 00138;HB;Mercedes Benz Werk Bremen;Mercedesstraße  1;28190 Bremen;;HB 00138;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.0588228;8.9015073
HB 00139;HB;Coldstore Mangement und Marketing GmbH;Heringstraße  2;27572 Bremerhaven;;HB 00139;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.517403;8.5824086
HB 00140;HB;H. Koch GbR Seefischgroßhandlung;Am Lunedeich  60;27572 Bremerhaven;;HB 00140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.51659;8.58345
HB 00142;HB;Hering&CO S. Starost;An der Packhalle  13, Abt. 11a;27572 Bremerhaven;;HB 00142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.5208435;8.5860425
HB 00143;HB;Deutsche See GmbH;Maifischstraße  11;27572 Bremerhaven;;HB 00143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;53.5159503;8.5812583
HB 00144;HB;Oleum Produktions- und Handels-GmbH;Schleusenrampe  8;27570 Bremerhaven;;HB 00144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.531084;8.5756966
HB 00145;HB;Frozen Fish International GmbH;Am Lunedeich  115;27572 Bremerhaven;;HB 00145;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;53.5097776;8.5908003
HB 00148;HB;Recker Feinkost GmbH;Gelsenkirchener Straße  17-21;28199 Bremen;;HB 00148;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;53.058503;8.7740526
HB 00150;HB;Zentralküche Klinikum Bremen Mitte;St. Jürgen-Straße  1;28177 Bremen;;HB 00150;;;;;;;;;;;;;;B, O, P, A, wG;;;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.0744997;8.8397283
HB 00151;HB;Die Blöchliger PartyService-PartyRent;Hinterm Sielhof  31;28277 Bremen;;HB 00151;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.0492411;8.8277457
HB 00152;HB;Ehlers Seafood GmbH;Am Lunedeich, Halle XIV 0;27572 Bremerhaven;;HB 00152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;53.5046832;8.5898907
HB 00153;HB;Nord-Ostsee-Marinaden GmbH;An der Packhalle V 4+5;27572 Bremerhaven;;HB 00153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.52156;8.5794051
HB 00155;HB;Edelfisch-Kontor;Am Lunedeich  62;27572 Bremerhaven;;HB 00155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.51652;8.5835299
HB 00157;HB;Rudolph GbR;Hammersbecker Straße  142;28755 Bremen;;HB 00157;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.1842248;8.61061
HB 00159;HB;Albert Cordts Fleischgroßhandel GmbH & Co. KG;Schlachthofstraße 18;27576 Bremerhaven;;HB 00159;;;X;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5585903;8.5954859
HB 00160;HB;sjs catering+management GmbH;Georg-Gröning-Straße  57a;28209 Bremen;;HB 00160;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.0841746;8.8342836
HB 00161;HB;Bero Versandschlachterei GmbH;Leerkämpe  14;28259 Bremen;;HB 00161;;;;;;B, P;;;;;;;B, P;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.05956;8.7243
HB 00162;HB;Feinkost Siegel GmbH;Am Lunedeich  76;27572 Bremerhaven;;HB 00162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;53.5159757;8.5841038
HB 00163;HB;NORDFROST GmbH & Co.KG;Kühlhausstraße  9;27572 Bremerhaven;;HB 00163;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5111795;8.583911
HB 00164;HB;Euro Frost GmbH;Dorschstraße  2-6;27571 Bremerhaven;;HB 00164;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.51967;8.58252
HB 00166;HB;Heuer Port Logistics GmbH;Steubenstraße  5;27572 Bremerhaven;;HB 00166;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.55847;8.55517
HB 00167;HB;Ratatouille;Fehrfelde  23;28203 Bremen;;HB 00167;;;;;;;;;;;;;;P, O;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;53.0751906;8.8226611
HB 00169;HB;Wilhelm Petersen Seefischgroßhandel GmbH;Fischkai 11;27572 Bremenhaven;;HB 00169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;53.5222217;8.5818794
HB 00170;HB;Ötken die Fischmanufaktur;An der Packhalle IX, Abt.  48-50;27572 Bremerhaven;;HB 00170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.51671;8.58732
HB 00174;HB;Hansa Frost Kühl- und Gefrierhaus GmbH & Co KG;Ludwig Erhard Str 16;28197 Bremen;;HB 00174;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.08764;8.7103
HB 00175;HB;Seafood Römö A/S;Am Lunedeich 88;27572 Bremerhaven;;HB 00175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;53.51561;8.58446
HB 00177;HB;Frozen Fish International GmbH;Klußmannstr.  3;27572 Bremerhaven;;HB 00177;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.533076;8.583064
HB 00178;HB;Weyher Wurstkontor GmbH;Oppenheimer Str.  10;28307 Bremen;;HB 00178;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.03795;8.96458
HB 00179;HB;Fischereihafenausgabe Bremerhaven;An der Packhalle V, Abt.07;27572 Bremerhaven;;HB 00179;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5215875;8.5793179
HB 00180;HB;Gebr. Schoemaker GmbH & Co KG;Ludwig Erhard Str 16;28197 Bremen;;HB 00180;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.08764;8.7103
HB 00181;HB;Transgourmet  Deutschland GmbH & Co. OHG;Ludwig Erhard-Str. 16;28197 Bremen;;HB 00181;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.08764;8.7103
HB 00182;HB;Hansefisch GmbH & Co KG;Furtstraße 20;28759 Bremen;;HB 00182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.1697342;8.6399532
HB 00183;HB;F. Schottke Zweigniederlassung der FRoSTA Aktiengesellschaft;Am Lunedeich 116;27572 Bremerhaven;;HB 00183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;53.5106343;8.5878258
HB 00185;HB;Auxilium GmbH, Küsten-Küche;Eckernfeldstr.  2;27580 Bremerhaven;;HB 00185;;;;;;;;;;;;;;B, O, P, A;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;53.57588;8.59078
HB 00186;HB;DACHSER SE Food Logistics;Ludwig Erhard-Straße 42;28197 Bremen;;HB 00186;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.09516;8.69897
HB 00187;HB;Sandstedt Feinkost Manufaktur GmbH;In den Freuen 106;28179 Bremen;;HB 00187;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.1432858;8.7235563
HB 00188;HB;Seafood Service Gebr. Schöne UG;An der Packhalle IX, Nr.26;27572 Bremerhaven;;HB 00188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.51688;8.58568
HB 00189;HB;Schiffsversorgung Rostock GmbH, Niederlassung Bremerhaven;Riedemannstr.  30;27572 Bremerhaven;;HB 00189;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5260132;8.5877335
HB 00190;HB;LSG Sky Chefs Bremern GmbH, Zweigniederlassung Bremen;Flughafendamm  49;28199 Bremen;;HB 00190;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0497;8.78989
HB 00192;HB;H.-J. Fiedler Meeresdelikatessen GmbH (Versandhalle);Unter der Rampe 5;27572 Bremerhaven;;HB 00192;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.52278;8.58876
HB 00193;HB;Fischfeinkost Friedrich Schäfer GmbH;Knurrhahnstr.  8;27572 Bremerhaven;;HB 00193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.519172;8.5787496
HB 00195;HB;Seamar GmbH;Neuer Schlag  34;23570 Lübeck;;HB 00195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;53.95956;10.84336
HB 00196;HB;Seamar GmbH;Neuer Schlag  34;23570 Lübeck;;HB 00196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;53.95956;10.84336
HB 00197;HB;Gebr.Schöne Fischhandel OHG;An der Packhalle IX, Nr. 40;27572 Bremerhaven;;HB 00197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;53.51677;8.58672
HB 00198;HB;Grünleben Feinkost GmbH;Am Lunedeich  66;27572 Bremerhaven;;HB 00198;;;;;;;;;;;;;;B, P;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.51637;8.58369
HB 00199;HB;Bodrum Dönerproduktion;Emder Str  48;27572 Bremen;;HB 00199;;;;;;;;;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.1011642;8.7732332
HB 00200;HB;Matos Seafood GmbH;An der Packhalle IX 26, Abt. 15;27572 Bremerhaven;;HB 00200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;53.51688;8.58568
HB 00201;HB;Bio-Catering Leibspeise;Sielwall 55-57;28203 Bremen;;HB 00201;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;B, C, O, S;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.07034;8.82372
HB 00202;HB;Friedehorst gGmbH - Zentralküche -;Rotdornallee 64;28717 Bremen;;HB 00202;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;B, C, O;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.17649;8.68323
HB 00203;HB;Martinsclub Kattenturm gGmbH Rotheo;Theodor-Billroth-Str. 30;28277 Bremen;;HB 00203;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;B, C, O;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.0383072;8.8198196
HB 00205;HB;Mirac Großhandel;Riedemannstr.  2;28239 Bremen;;HB 00205;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.137183;8.7230285
HB 00206;HB;Edelfisch-Die Räucherei;Freiladestr.  10;27572 Bremerhaven;;HB 00206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;53.51778;8.5807399
HB 00207;HB;TFE GmbH #The Fish Experts;Am Lunedeich 96;27572 Bremerhaven;;HB 00207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;53.515297;8.5850282
HB 00208;HB;Lachs-direkt;Am Lunedeich 40;27572 Bremerhaven;;HB 00208;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.51771;8.58223
HB 00209;HB;Deutsche See GmbH;Maifischstr. 2-6 (Halle X);27572 Bremerhaven;;HB 00209;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5163922;8.580181
HB 00210;HB;handmade2go GmbH&Co.KG;Knurrhahnstr. 9;27572 Bremerhaven;;HB 00210;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5182437;8.578612
HB 00211;HB;Schüttler & Seifert Seefischgroß- und Einzelhandel GmbH;Packhalle XIII 11;27572 Bremerhaven;;HB 00211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;53.5175592;8.5807625
HB 00212;HB;Heinrich Abelmann GmbH;Am Lunedeich 22;27572 Bremerhaven;HB-EFB 001;HB 00212;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;;;;;;;;;X;;;;;;Die Veterinärkontrollnummer HB-EFB 001 kann bis zum 13.12.2020 verwendet werden.;;;;53.51904;8.58076
HB 00213;HB;Fimex Tiefkühl GmbH;Fischkai 15;27572 Bremerhaven;HB-EFB 015;HB 00213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;Die Veterinärkontrollnummer HB-EFB 015 kann noch bis einschließlich 30.06.2020 verwendet werden.;;;;53.5223784;8.5817385
HB 00214;HB;Good Food And More;Europaallee 1;28309 Bremen;;HB 00214;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0350034;8.890231
HB 00529;HB;TK Zentrum Bohmsiel GmbH;Bohmsiel 8;27572 Bremerhaven;;HB 00529;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.49329;8.60054
HB 01049;HB;Kloosterboer BLG Coldstore GmbH;Senator-Borttscheller-Straße 8;27568 Bremerhaven;;HB 01049;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5842842;8.5446586
HE-EFB 019;HE;Lachs- Aal- Forellenräucherei Forellenhof;An der Kuhbach 7;34497 Korbach;HE-EFB 019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;51.2796944;8.8625492
HE-EFB 021;HE;Fischzuchtbetrieb Hermann Rameil oHG;Pipprichsweg 7;34560 Fritzlar;HE-EFB 021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;51.1200773;9.2553746
HE-EFB 028;HE;DESIETRA GMBH;Kruppstraße 5;36041 Fulda;HE-EFB 028, HE-EFB 028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;50.5599947;9.5910648
HE-EFU 001;HE;Deutsche See GmbH;Meisenbornweg 10;35398 Gießen;HE-EFU 001;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.5769678;8.6571967
HE-EFU 012;HE;METRO SB-Großmärkte GmbH & Co. KG;Siemensstraße 7;35440 Linden;HE-EFU 012;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.5408095;8.6520898
HE-EFU 019;HE;METRO Handelsgesellschaft mbH;Werner-Heisenberg-Straße 10;34123 Kassel;HE-EFU 019;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.2800294;9.4967619
HE-EK 216;HE;Dachser GmbH & Co. KG;Carl-Legien-Straße 22;63073 Offenbach am Main;HE-EK 216;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0841627;8.8374768
HE-EK 217;HE;Tiefkühl-Lager-Betriebs GmbH;Westerwaldstraße 2;64646 Heppenheim (Bergstraße);HE-EK 217;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.63651;8.61169
HE-EP 003;HE;Karl-Wilhelm Rudolph;Altenburgweg 2;34596 Bad Zwesten;HE-EP 003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;51.0334976;9.1935242
HE-EP 004;HE;Andrea Siebert;Lentzstraße 23;37235 Hessisch Lichtenau;HE-EP 004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;51.212703;9.689487
HE-EP 006;HE;EHLEGO Landkost GmbH;Hühnerhof Bodenscheidt 1;35649 Bischoffen;HE-EP 006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;50.7135254;8.4922958
HE-EP 008;HE;Carsten Rennert;Ziegelbruchweg 9;34466 Wolfhagen;HE-EP 008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;51.38713;9.18188
HE-ES 005;HE;Helwig Handels KG;Rörshainer Weg 8;34613 Schwalmstadt;HE-ES 005, HE-EZ 005;;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.92163;9.23544
HE-ES 007;HE;Landwirtschaftliche Vieh- und Fleischvermarktung Nordhessen e.G.;Söllinge 4;34454 Bad Arolsen;HE-ES 007;;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.3588282;8.9963439
HE-ES 202;HE;Odenwald Schlachthof Gesellschaft mbH;Ochsenwiesenweg 2;64395 Brensbach;HE-ES 202;;;;;;B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.78353;8.8724
HE-EUZ 15;HE;Möhring & Co., Lebensmittelvollservice;Gerhard-Becker-Straße 15;63075 Offenbach am Main;HE-EUZ 15;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.1209202;8.782585
HE-EUZ 102;HE;Fleischwerke Hessengut GmbH;Edekastraße 4;35418 Buseck;HE-EUZ 102;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.6017784;8.798631
HE-EUZ 207;HE;Mitra Im- und Export GmbH;Platanenallee 13;64546 Mörfelden-Walldorf;HE-EUZ 207;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0060609;8.579408
HE-EV 009;HE;Rügenwalder Spezialitäten Plüntsch GmbH & Co. KG;Am Ankenberg 4;34454 Bad Arolsen;HE-EV 009;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.3724212;9.0002905
HE-EV 11-077 C;HE;Enders GmbH & Co. KG;Endersstraße 4;35447 Reiskirchen;HE-EV 11-077 C;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;50.59719;8.82529
HE-EV 11-112 C;HE;Naturdarm AL-ME Inhaber: Mehmet Hayri Alakus;Ehringshäuserstraße 25;35630 Ehringshausen-Kölschhausen;HE-EV 11-112 C;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;50.6334774;8.3989602
HE-EV 103;HE;Fleischwarenbetrieb Paul Litzinger und Sohn e. K.;Bahnhofstraße 26;65552 Limburg a.d. Lahn;HE-EV 103;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.3950721;8.1043874
HE-EV 233;HE;Mond-Star-Pastirma Schinkenproduktions GmbH;Max-Planck-Ring 31;65208 Wiesbaden;HE-EV 233;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0411268;8.3555735
HE-EV 1253;HE;Rad & Ruther;Steinbreite 14;34277 Fuldabrück;HE-EV 1253;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.2688023;9.4997724
HE EZ 104;HE;Metzgerei Heinrich Stumpf GmbH;Fischbach 16;35418 Buseck;HE EZ 104, HE EV 104;;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.6026501;8.8064901
HE-EZ 114;HE;Schlachtbetrieb Marburg-Wehrda;Industriestraße 12;35041 Marburg;HE-EZ 114;;;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.8437969;8.7663054
HE-EZ 781;HE;Alfred Böck Fleischgroßhandel;Industriestraße 12;64807 Dieburg;HE-EZ 781;;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.9053762;8.8496966
HE 001;HE;Immergut GmbH & Co. KG;Bahnhofstraße 22;36381 Schlüchtern;HE 001;;;;;;;;;;;;;;;;;;;;;;;;;;X;B, C, O;;;;;;;;;;;;;;;;;;50.34862;9.5184
HE 002;HE;Hochwald  Foods  GmbH, Betriebsteil Trocknung;Mohastraße 1;35410 Hungen;HE 002;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.47239;8.90883
HE 005;HE;Upländer Bauernmolkerei GmbH;Korbacher Straße 6;34508 Willingen (Upland);HE 005;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;51.2822024;8.6649678
HE 007;HE;Hochwald Foods GmbH - Werk Hungen;Mohastraße 1;35410 Hungen;HE 007;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.47239;8.90883
HE 012;HE;Hochwald Foods GmbH - Werk Hünfeld;Hersfelder Straße 20;36088 Hünfeld;HE 012;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;50.681;9.76164
HE 013;HE;Schwälbchen Molkerei - Jakob Berz AG;Bahnhofstraße 38;65307 Bad Schwalbach;HE 013;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.1483406;8.0820903
HE 015;HE;Molkerei Hüttenthal GmbH & Co. KG;Molkereiweg 1;64756 Mossautal;HE 015;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;49.6199622;8.9444337
HE 15;HE;Jausenstation;Weißenbachstraße 1;37247 Großalmerode;HE 15;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;51.2568193;9.8484219
HE 016;HE;Variopack Lohnfertigungen GmbH;Kolberger Straße 15;63667 Nidda;HE 016;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.4287061;8.9901289
HE 017;HE;Elmar Möcklinghoff;Papiermühle 1;34369 Hofgeismar;HE 017;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;51.49991;9.41541
HE 022;HE;Käserei Mack GmbH;Hauptstraße 41;35625 Hüttenberg;HE 022;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.5113616;8.6174262
HE 023;HE;Käserei W. Mack, Inhaber W. Jung;Hauptstraße 41;35625 Hüttenberg;HE 023;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.5113616;8.6174262
HE 026;HE;L'Abbate Käsefabrik;Bieberer Straße 23;63065 Offenbach am Main;HE 026;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.1037371;8.7677463
HE 028;HE;Eschenhof GbR;Bärenbergstraße 1;34466 Wolfhagen;HE 028;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;51.34267;9.22342
HE 030;HE;Odenwalder Kochkäserei;Lauten-Weschnitzer Strasse 11;64658 Fürth;HE 030;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;49.6409275;8.7543417
HE 032;HE;Käserei Hermann Horst GmbH;Schützenstraße 24;64521 Groß-Gerau;HE 032;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;49.9236705;8.4792398
HE 033;HE;Kastanienhof GbR;Völzberger Straße 14;63633 Birstein;HE 033;;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;50.4387086;9.3224973
HE 036;HE;Käserei H. Birkenstock GmbH;Werrastraße 6;35625 Hüttenberg;HE 036;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.5077807;8.6265935
HE 038;HE;Käserei Altenschlirf;Erlenweg 9;36358 Herbstein;HE 038;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.5365051;9.3943065
HE 039;HE;Käserei Gemeinschaft Melchiorsgrund;;00000 Schwalmtal-Hopfgarten;HE 039;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;50.7031859;9.2964196
