code;name;street;city;postalcode;lat;lng
DK 1697 EF;Fonfisk Hanstholm  A/S;Hamborgvej 16;Hanstholm;7730;57.1148310;8.6454740
DK 170 EF;Constellation Cold Logistics Denmark A/S;Park Alle 17;Vejen;6600;55.4743500;9.1597230
DK 1706 EF;Edgar Madsen Fiskeeksport & Filetfabrik A/S;Metheasvej 10;Hvide Sande;6960;55.9998560;8.1256160
DK 171 EF;Nagel Danmark A/S;Thorsvej 19;Padborg;6330;54.8304400;9.3373170
DK 1714 EF;Vejlgaard;Rødspættevej 1;Hvide Sande;6960;55.9992300;8.1239320
DK 1717 EF;DANSKE FISKEAUKTIONER A/S, Hvide Sande;Auktionsgade 2;Hvide Sande;6960;56.0002440;8.1250370
DK 172 EF;A/S Læsø Fiskeindustri;Fiskerihavnsgade 19, Postboks 21;Frederikshavn;9900;57.4400090;10.5473300
DK 1721 EF;Kystfisker Kompagniet;Baadehavnsvej 9;Korsør;4220;55.3336760;11.1353640
DK 1724 EF;Fiskernes Fiskesortering Amba;Norgeskajen 12;Hirtshals;9850;57.5931800;9.9656040
DK 1727 EF;Kølerum Tårshavn, V/Gert Hansen;Tårsvej 174;Harpelunde;4912;54.8832240;11.0288190
DK 1729 EF;Danske Fiskeauktioner A/S, Thorsminde;Vesthavnen 7, Thorsminde;Ulfborg;6990;56.3700960;8.1207370
DK 1730 EF;FAABORG FISKESALGSFORENING OG, ISVÆRK APS;Vestkajen 5;Faaborg;5600;55.0970870;10.2428246
DK 1732 EF;Danske Fiskeauktioner A/S, Thyborøn;Havnegade 15;Thyborøn;7680;56.7031770;8.2214920
DK 174 EF;Lineage Copenhagen ApS;Kanalholmen 25;Hvidovre;2650;55.6093310;12.4545470
DK 174 EF;Lineage Copenhagen;Kanalholmen 25;Hvidovre;2650;55.6093310;12.4545470
DK 1743 EF;Skagen Fiskeauktion A/S;Auktionsvej 10;Skagen;9990;57.7206070;10.5922560
DK 1746 EF;Polar Salmon Hjerting Laks A/S;H E Bluhmes Vej 18;Esbjerg;6700;55.4762350;8.4269550
DK 1749 EF;Grenaa Fiskeauktion;Søndre Kajgade 13;Grenaa;8500;56.4093070;10.9223120
