"source_column","transformation","target_column","target_database","comments"
"nom_piece_detachee_11_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_11_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_11_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_12_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_12_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_12_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_13_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_13_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_13_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_14_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_14_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_14_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_15_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_15_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_15_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_1_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_1_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_1_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_2_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_2_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_2_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_3_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_3_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_3_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_4_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_4_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_4_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_5_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_5_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_5_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_6_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_6_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_6_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_7_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_7_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_7_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_8_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_8_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_8_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_9_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_9_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_9_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_10_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_10_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_10_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_11_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_11_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_11_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_12_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_12_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_12_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_13_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_13_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_13_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_14_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_14_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_14_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
"nom_piece_detachee_15_distributeur","add_to_list","france:reparability_index:spare_part:name:distributor:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_15_distributeur","add_to_list","france:reparability_index:spare_part:delivery_days:distributor",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_15_distributeur","add_to_list","france:reparability_index:spare_part:availability_years:distributor",,"Not imported for the moment"
