# we use this file to match Systeme U categories (with 3 levels: "category1 - category2 - category3") to OFF categories
# if we don't have a match, we check if category3, category2 or category 1 exist in the OFF taxonomy

# categories with no match:

categories with no mapping to OFF categories:
Pains, Viennoiseries et Pâtisseries - Viennoiseries et brioches - Galettes, Couronnes et autres	6
Viandes, poissons - Traiteur de la mer - Soupes de poisson, sauces et jus de citron6
Pains, Viennoiseries et Pâtisseries - Pains de mie, pains pré-emballés - Pains de mie natures	6
Epicerie sucrée - Sucre, farine, pâtisserie - Sucre, édulcorant	6
Charcuterie, traiteur - Apéritif - Cake, pain surprise et préfou	5
Pains, Viennoiseries et Pâtisseries - Pains de mie, pains pré-emballés - Pains précuits ou à cuire	5
Epicerie sucrée - Tablettes et chocolat - Truffes, marrons glacés, pâtes de fruits et nougats	5
Nutrition et régimes alimentaires - Végétal - Aides culinaires végétales	5
Produits frais - Beurres, crèmes et oeufs - Sauces et Chantilly	5
Bières, vins, alcools - Apéritifs et Spiritueux - Vodka, Gin, Tequila et assimilés5
Bières, vins, alcools - Apéritifs et Spiritueux - Punchs et cocktails	5
Produits frais - Fromages à cuisiner, apéritifs et râpés - Fromages enfant et portions individuelles	4
Bières, vins, alcools - Apéritifs et Spiritueux - Apéritifs sans alcool	4
Epicerie sucrée - Compotes et desserts - Crèmes dessert, riz au lait	4
Charcuterie, traiteur - Sandwich et repas express - Salade repas	4
Nutrition et régimes alimentaires - Minceur et sport - Minceur et sport	4
Epicerie salée - Apéritifs et chips - Amandes, noisettes et mélanges	4
Produits frais - Desserts et compotes - Desserts enfants	4
Produits frais - Beurres, crèmes et oeufs - Margarines et matières grasses	4
Bières, vins, alcools - Apéritifs et Spiritueux - Pastis et anisés	4
Pains, Viennoiseries et Pâtisseries - Pains de mie, pains pré-emballés - Canapés et toasts	4
Bio - Epicerie sucrée bio - Cafés et poudres chocolatées	4
Epicerie sucrée - Gâteaux moelleux - Marbrés, quatre-quarts, cakes	3
Viandes, poissons - Traiteur de la mer - Panés	3
Pains, Viennoiseries et Pâtisseries - Viennoiseries et brioches - Pancakes, beignets et muffins	3
Epicerie salée - Produits du monde - Epicerie italienne	3
